,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale Pannipitiya,22 Jul 11:25 am,"Pannipitiya, Colombo","1,000,000",2.2 km to pannipitiya1.8 km to ambagas hathara junction800m to kalalgoda junction2.2 km to thalawathugoda,"Surakisewana Road,weera mawatha,Pannipitiya",Residential,10.25 perches
2,"['Land for Sale Pannipitiya', '22 Jul 11:25 am', 'Pannipitiya, Colombo', '1,000,000', '2.2 km to pannipitiya1.8 km to ambagas hathara junction800m to kalalgoda junction2.2 km to thalawathugoda', 'Surakisewana Road,weera mawatha,Pannipitiya', 'Residential', '10.25 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,පර්චස් 7ක ඉඩමක් විකිනීමට - පන්නිපිටිය,22 Jul 12:53 pm,"Pannipitiya, Colombo","775,000",- පර්චස් 7ක ඉඩමක් විකිනීමට ඇත - පර්චස් 7 ඉඩමට අඩි 12 පාරක් - නිරවුල් ඔප්පු (UDA අනුමත කල)- මොරකැටිය හන්දියට 1km- කොට්ටාව අදිවේගී පිවිසුමට 3km - පන්නිපිටිය ධර්මපාල විද්‍යාලයට 1km,Pannipitiya-Rathmaldeniya,Commercial,7.0 perches
4,පර්චස් 7ක ඉඩමක් විකිනීමට - පන්නිපිටිය,22 Jul 12:53 pm,"Pannipitiya, Colombo","775,000",- පර්චස් 7ක ඉඩමක් විකිනීමට ඇත - පර්චස් 7 ඉඩමට අඩි 12 පාරක් - නිරවුල් ඔප්පු (UDA අනුමත කල)- මොරකැටිය හන්දියට 1km- කොට්ටාව අදිවේගී පිවිසුමට 3km - පන්නිපිටිය ධර්මපාල විද්‍යාලයට 1km,Pannipitiya-Rathmaldeniya,Commercial,7.0 perches
5,Land for Sale Pannipitiya,22 Jul 11:25 am,"Pannipitiya, Colombo","1,000,000",2.2 km to pannipitiya1.8 km to ambagas hathara junction800m to kalalgoda junction2.2 km to thalawathugoda,"Surakisewana Road,weera mawatha,Pannipitiya",Residential,10.25 perches
6,Land for Sale at Pannipitiya,21 Jul  3:42 pm,"Pannipitiya, Colombo","1,000,000",Land For Sale at PANNIPITIYA6.75 PERCHESNEAR FOOD CITY20 FEET ROADBARE LANDHighly residential area and very calm surrounding.💠 Very Use Full For Resident or Business        For Quickly Sell☎ Call For More Details.,L-PANNIPITIYA-05,Residential,6.75 perches
7,Land for Sale at Pannipitiya,21 Jul  3:41 pm,"Pannipitiya, Colombo","1,850,000",Land for sale in PANNIPITIYA20 FEET ROADBARE LAND18.5 LAKS PER PERCHHighly residential area and very calm surrounding.,L-PANNIPITIYA-04,Residential,12.0 perches
8,Land for Sale at Pannipitiya,21 Jul  3:27 pm,"Pannipitiya, Colombo","750,000",Land For Sale at PANNIPITIYA16 PERCHES7.5 LAKS PER PERCHNEAR DEVRAM VEHERABARE LAND Highly residential area and very calm surrounding.💠 Very Use Full For Resident       For Quickly Sell,L-PANNIPITIYA-06,Residential,16.0 perches
9,Valuable Land for Sale in Pannipitiya,21 Jul  9:26 am,"Pannipitiya, Colombo","20,000,000",19P land for Sale in near pannipitiya junctionExcellent residential areafiat landtNatural place15 ft wide access roadclear deedsLocated in a highly residential Area in pannipitiya,pannipitiya,"Agricultural, Commercial, Residential",19.0 perches
