,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,51 P Water Front Land Sale Rajagiriya,15 Jul  2:36 pm,"Rajagiriya, Colombo","2,850,000",Rs 2850000.00 LAKHSPER PERCHNegotiable,Facing Kamathawatha Road / Medawelikada Road Rajagiriya,"Commercial, Residential",51.0 perches
2,"['51 P Water Front Land Sale Rajagiriya', '15 Jul  2:36 pm', 'Rajagiriya, Colombo', '2,850,000', 'Rs\xa02850000.00 LAKHSPER PERCHNegotiable', 'Facing Kamathawatha Road / Medawelikada Road Rajagiriya', 'Commercial, Residential', '51.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Rajagiriya,22 Jul 12:28 pm,"Rajagiriya, Colombo","1,100,000","රාජගිරිය, කළපළුවාවේ පිහිටි මෙම ඉඩම විකිණීමට අැත.","Kalapaluwawa, Rajagiriya",Residential,25.0 perches
4,390P COMMERCIAL LAND SALE AT RAJAGIRIYA,22 Jul  7:40 am,"Rajagiriya, Colombo","9,500,000",Rs 9500000.00  LAKHSPER PERCH,RAJAGIRIYA,"Commercial, Residential",390.0 perches
5,108 Perches land sale at Rajagiriya,22 Jul  7:37 am,"Rajagiriya, Colombo","4,500,000",Rs 4500000.00  LAKHS PER PERCH,walawwaththa road & Rajagiriya road Rajagiriya,"Commercial, Residential",108.0 perches
6,8P Bare Land for Sale in Rajagiriya,21 Jul  7:37 pm,"Rajagiriya, Colombo","25,000,000",•Our Reference No. SL 9494(Please quote this reference number when inquiring.)	,Rajagiriya,Residential,8.0 perches
7,Land for Sale in - Rajagiriya,20 Jul  3:51 pm,"Rajagiriya, Colombo","1,900,000","Highly Residential area . Water ,Electricity Available . Wedagawatta Rd  , 11.3 Perches .200 m to Buthgamuwa Road . 1 Perch =19 Laks",Rajagiriya Wedagewatta RD,Residential,11.3 perches
8,Land for Sale in Rajagiriya,20 Jul  3:41 pm,"Rajagiriya, Colombo","3,500,000","Good Residential property in RajagiriyaLocated in 1st Lane, Medawelikada","1st Lane, Medawelikada","Commercial, Residential, Other",61.0 perches
9,40 Perches Land for Sale in Rajagiriya,20 Jul  9:22 am,"Rajagiriya, Colombo","3,500,000",40 Perches Land for Sale in RajagiriyaSuitable for an Apartment ProjectWith 3 Old Houses10Ft. Private Entrance20Ft. Access Carpet RoadAn Apartment Project Construction in Progress Next to This LandLocated in Meda Welikada RoadSelling for the Land ValueUrgent SaleNo BrokersSelling Price: Rs.3.5 Million Per PerchCall for More Details,Meda Welikada Road,"Commercial, Residential",40.0 perches
10,Land | For Sale In Rajagiriya - L0592,20 Jul  8:13 am,"Rajagiriya, Colombo","250,000,000","107 perch land for sale in Cooray Mawatha, Rajagiriya.",Residential,107.0 perches,
11,Lands Sale Rajagiriya,20 Jul  1:40 am,"Rajagiriya, Colombo","1,000,000","LANDS  FOR SALE (ඉඩම් + නිවස+ විකිනීමට)<<Excellent Investment Opportunities,,:: PROPERTY on -  Land Houses Apartments  Buildings Bare lands Acres Cultivated,,CINNAMON , PAPAIR,,RUBER,, WATER FRONT Echo Tourrism,,,Projects ,,","Colombo, Nawala Rajagiriya","Agricultural, Commercial, Residential, Other",10.0 perches
12,Land for Sale in Rajagiriya - L0592-AA,19 Jul  8:01 pm,"Rajagiriya, Colombo","2,500,000","40 perch land for sale in Kamathawatta Road, Rajagiriya.",Residential,40.0 perches,
13,Land with house for Sale - Rajagiriya,20 Jul 11:18 am,"Rajagiriya, Colombo","3,500,000","Looking for a land to put up an apartment or for a future investment, this is an ideal opprtunity for u then. This land is faceing the diyawanawa lake with a single story large house in a peacefull and quite area, with all clear deeds.Please call principels only.",Rajagiriya,"Commercial, Residential",65.0 perches
14,108P Bare Land Sale At Rajagiriya,19 Jul 10:48 am,"Rajagiriya, Colombo","4,500,000",Rs 4500000.00PER PERCHNegotiable,walawwaththa road & Rajagiriya road Rajagiriya,"Commercial, Residential",108.0 perches
15,Land for Sale in Rajagiriya - MCP658,19 Jul  7:52 am,"Rajagiriya, Colombo","3,200,000","40 perch land.This Land is located in Kamatawatta Road, Rajagiriya.",Residential,40.0 perches,
16,Land for Sale - Rajagiriya,18 Jul  4:34 pm,"Rajagiriya, Colombo","1,800,000","Land for sale in Gothatuwa==================* Location - Gothatuwa new town* Land Type - Residential* Land Size - 11.9 perchse* Price - 1,800,000 per perchmore details========* All facilitates included* 20 minutes to Peliyogada\Kaduwela highway entrance* 15 minutes away from Battramulla\Borella  * Facing to 30 feet broad carpet road* supermarkets Hospital Ect.. located close to the land* Two separate current lines.* Main water supply\Moterd well water* Surrounded by calm and quite environment","No:88,Dodamgahahena,Gothatuwa New town,Rajagiriya","Commercial, Residential",12.0 perches
17,4 Perches Land for Sale in Rajagiriya,18 Jul  9:36 am,"Rajagiriya, Colombo","13,000,000","4 Perches Land with basic house For Sale in Dharmapala Place, Rajagiriya. 1.5km to Rajagiriya Town. The Land is situated at residential area with respectable neighborhood.",Dharmapala Place,"Commercial, Other",4.0 perches
18,Bare Land for Sale in Rajagiriya [LS26],17 Jul  7:37 pm,"Rajagiriya, Colombo","1,000,000","Highlights- Land extent: 31.2 Perches- Property is located on a private lane off 4th Lane, Rajagiriya Road, Rajagiriya.- The property is approx. 200 meters away from Rajagiriya Road. - The property is approx. 1.5 km away from Cotta Road & Rajagiriya Flyover Junction. ","4th Lane, Rajagiriya Road, Rajagiriya",Residential,31.2 perches
19,Land for sale in Gothatuwa(LS169),17 Jul  1:33 pm,"Rajagiriya, Colombo","16,250,000",Rs.12.5 Lakhs per perch13 perches15 feet access roadHighly residential areaConvenient locationAccess to all amenitiesAccess to many different areas,"Moravitiya Road, Buthgamuwa Road, Rajagiriya",Residential,13.0 perches
20,Land Facing Cotta Road Rajagriya,17 Jul  2:01 am,"Rajagiriya, Colombo","7,000,000","Commercial Land for sale in Rajagiria Cotta Road.The Land is situated facing the Cotta Road with a Road frontage of 26 feet (land becomes wider to 40ft In after 10 meters)  From Borella after passing Ayurveda, Golden Key hospitals and few blocks away from former Impala cinema. Land extent 18.55 perches with a 3 story building (price expected only for land value).",Cotta Road,Commercial,19.0 perches
21,Land for Sale in Rajagiriya,16 Jul  5:01 pm,"Rajagiriya, Colombo","1,600,000",Good Residential Property in RajagiriyaLocated in Buthgamuwa Road Rajagiriya,Buthgamuwa Road Rajagiriya,"Residential, Other",22.3 perches
22,Rajagiriya Commercial Land for sale - CC686-G,15 Jul  8:56 pm,"Rajagiriya, Colombo","7,000,000","#. 18.55 perch land located in Cotta Road, Rajagiriya.#. 26 feet road frontage.",Commercial,18.55 perches,
23,9.5P Two Land Blocks or Entire Lands For Sale - Rajagiriya,14 Jul 10:16 pm,"Rajagiriya, Colombo","1,100,000","19P Land is available for sale at Gothatuwa, RajagiriyaPeaceful surroundingGood residential area600 meters to Kolonnawa road1.6 kms to Kotikawatta junction3.8 kms Rajagiriya junctionSelling as 2 separate blocks or entire landAsking Price Rs. 1.1 Mn PP","Gothatuwa, Rajagiriya",Residential,19.0 perches
24,"Land for sale in abagaha juntion,rajagiriya",19 Jul  2:27 pm,"Rajagiriya, Colombo","2,300,000","LAND WITH 2 story luxury house A/CLAND VALIVSION per perches -2,300,000/=    Bed 5Bath 5Sqft 5000Fully tiled","Abagaha juntion,Rajagiriya","Residential, Other",55.0 perches
25,Land for Sale - Kalapaluwawa,14 Jul  7:48 am,"Rajagiriya, Colombo","2,000,000",Rajagiriya kalapaluwawa less Then 400meters main Road 3 K. M Rajagiriya junction fencing Waters edge Lake. Visit  are by appointment only Call Back me pls no brokars,Rajagiriya kalapaluwawa,Residential,56.0 perches
26,Land for Sale Rajagiriya,13 Jul  2:42 pm,"Rajagiriya, Colombo","2,000,000",Rajagiriya Kalapaluwawa fencing  Waters edge Lake,Rajagiriya Kalapaluwawa,Residential,25.0 perches
27,Land for Sale in Rajagiriya,12 Jul  9:14 pm,"Rajagiriya, Colombo","1,300,000",Land for located in Kalapaluwawala Infront of pasal mawatha 2 lands of 25 perchers Decent neighborhood,"Kalapaluwawala , Rajagiriya",Residential,25.0 perches
28,51 P Water Front Land Sale Rajagiriya,15 Jul  2:36 pm,"Rajagiriya, Colombo","2,850,000",Rs 2850000.00 LAKHSPER PERCHNegotiable,Facing Kamathawatha Road / Medawelikada Road Rajagiriya,"Commercial, Residential",51.0 perches
29,Land for Sale in Kalapaluwawala,12 Jul  9:09 pm,"Rajagiriya, Colombo","1,300,000",Land for located in KalapaluwawalaInfront of pasal mawatha 49.5 perchers Most suitable for apartmentDecent neighborhood,"Kalapaluwawala, Rajagiriya",Residential,49.5 perches
30,Rajagiriya Land for Sale - LL684-D,12 Jul  6:50 pm,"Rajagiriya, Colombo","2,000,000","7.5 perch land in Off Madinnagoda Road, Rajagiriya.",Residential,7.5 perches,
31,11 perch land for sale in Rajagiriya,12 Jul 11:36 am,"Rajagiriya, Colombo","55,000,000",11 perches LKR 5 million per perchAccess to all amenitiesConvenient location Water frontage ,"Royal Court, N J V Cooray Road.",Residential,11.0 perches
32,Old House With 18 .3P Valuable Land for Sale In Rajagiriya,12 Jul  3:49 am,"Rajagiriya, Colombo","27,500,000","රාජගිරියේ  සිට කිලෝමීටර් 3 .5ක් ද ,දෙමටගොඩ සිට කිලෝමීටර් 5ක් ද  වන IDH හන්දියට මීටර් 300ක් ද ඇති දොඩම්ගහහේන අඩි 30ක පාරට අඩි 60කට වැඩිය  මුහුනත  ඇති පර්චස් (11.3 හා 6 .5) 18.3ක ඉඩමේ කාමර 5 නාන කාමරයක් ද  කාමර 3ක  පැරණි  විශාල නිවස  සමඟ  ප්‍රදේශයේ පවතින ඉඩම් මිලට පමනක් පර්චසය ලක්ෂ 15 ගනනේ විකිනීමට බලාපොරොත්තු වේ ...උසස් නේවාසික පරිසරයක පිහිටි ඉඩමක්  බැවින්  මහල් 5ක, නිවාස කිහිපයක්  සහිත  වටිනා  ගොඩනැගිල්ලක් ඉදිකිරීමට  හැකියාව ඇති  ඉඩමකි.කරුණාකර තැරව්කරුවන් අමතන්න එපා .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .ඉඩම පරීක්ෂා කිරීමෙන් පසුව මිල සාකච්ඡා කල හැක .ඉඩම පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර ගන්න ........................ස්තූතියි .........................","BANDARANAYAKAPURA ,HALGAHADENIYA ROAD RAJAGIRIYA .","Residential, Other",18.3 perches
33,Land | for Sale Rajagiriya - L0663-D,11 Jul  9:33 pm,"Rajagiriya, Colombo","6,500,000",Land for sale in Rajagiriya,Residential,20.0 perches,
