,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Residential Land for Sale - Mount Lavinia,19 Jul 11:14 am,"Ratmalana, Colombo","50,000,000",- 400m from the Galle Road- 500m from the Mount Lavinia Police Station- Highly accessible- Includes a housing structure,"64/19 Pirivena Road, Mount Lavinia",Residential,20.0 perches
2,"['Residential Land for Sale - Mount Lavinia', '19 Jul 11:14 am', 'Ratmalana, Colombo', '50,000,000', '- 400m from the Galle Road- 500m from the Mount Lavinia Police Station- Highly accessible- Includes a housing structure', '64/19 Pirivena Road, Mount Lavinia', 'Residential', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Ratmalana 1500 Sq.Ft. House with 19.60 P. Land for Sale,23 Jul  3:11 pm,"Ratmalana, Colombo","24,500,000",Two Way Entrance To House 500 Meters From Galle Road (From Rahula Mawatha & Model Town Road-Carpete Roads),Model Town Road,"Residential, Other",19.6 perches
4,Land for Sale in Ratmalana,23 Jul 10:46 am,"Ratmalana, Colombo","1,200,000",Land for Sale in Ratmalana 116 Raja Mawatha,"Commercial, Residential",17.3 perches,
5,Bare Land for Sale Ratmalana,21 Jul  9:14 am,"Ratmalana, Colombo","23,000,000",23million per perch residence area,Ratmalana,Commercial,14.0 perches
6,Road Facing Land for Sale - Ratmalana,20 Jul  2:38 pm,"Ratmalana, Colombo","40,000,000","40million total price..., B-land",Ratmalana gallroad facing,Commercial,10.0 perches
7,Land for Sale in Rathmalana,23 Jul  9:25 am,"Ratmalana, Colombo","1,500,000",Good Residential Rectangular flat Land in RathmalanaLocated in Angulana Station Road,Angulana Station Road,"Residential, Other",20.0 perches
8,14.2 P PROPERTY SALE RATMALANA,19 Jul 12:40 pm,"Ratmalana, Colombo","1,950,000",Rs 1950000.00 LAKHS PER PERCH,FACING SRI INDRAJOTHE ROAD DARMARAMA ROAD RATMALANA,"Commercial, Residential",14.2 perches
9,Residential Land for Sale - Mount Lavinia,19 Jul 11:14 am,"Ratmalana, Colombo","50,000,000",- 400m from the Galle Road- 500m from the Mount Lavinia Police Station- Highly accessible- Includes a housing structure,"64/19 Pirivena Road, Mount Lavinia",Residential,20.0 perches
10,47 P Land & Property Sale at Rathmalana,16 Jul  1:13 pm,"Ratmalana, Colombo","2,500,000",Rs 2500000.00 LAKHSPER PERCHNegotiable,FACING 20 FEET 2ND LANE RATMALANA / NEAR JAYAH ROAD,"Commercial, Residential",47.0 perches
11,Residential Land for Sale in Mountlavinia,20 Jul 11:41 am,"Ratmalana, Colombo","2,500,000",15.2 Perch Bare land for sale.Water & Electricity connection already available.Architect designed home drawing available for those interested in building their dream home.Selling due to migration.,Indrajothi Mawatha,Residential,15.2 perches
12,Land for Sale in Ratamalana,13 Jul 11:13 am,"Ratmalana, Colombo","1,700,000",Land for Sale in Ratamalana====================,"Commercial, Residential",34.0 perches,
13,Land | for Sale Ratmalana - LL530,13 Jul  9:39 am,"Ratmalana, Colombo","1,800,000","33 perch land with an old house located in Attidiya Road, Ratmalana.",Residential,33.0 perches,
14,Land for Sale Rathmalana,12 Jul  5:09 pm,"Ratmalana, Colombo","2,600,000",Land for sale 2nd lane rathmalana 47 perches per perch price 26 lakh immediately sale please no brokers,2 lane rathmalana,Residential,47.0 perches
15,Ratmalana Commercial Land | For Sale - CC548, 8 Jul 11:20 am,"Ratmalana, Colombo","85,000,000",Galle road facing two storied commercial Land with old building for sale.,Commercial,10.0 perches,
16,17 Land for Sale in Galle Road Ratmalana., 7 Jul  7:31 am,"Ratmalana, Colombo","3,700,000",STRICTLY NO AGENTS.,"GALLE ROAD,RATHMALANA.","Commercial, Residential",17.0 perches
17,Bear Land for Sale in - Ratmalana, 6 Jul  4:06 pm,"Ratmalana, Colombo","1,750,000","800 M to Galle Road, 3 Km to Colombo-Piliyandala Road, Square Land,highly Residential,close to Kotalawala Defence Acadamy,","Thissa mawatha,Borupona,Ratmalana",Residential,12.0 perches
18,7.6 Perches Bare Land for Sale in Ratmalana, 4 Jul 11:20 am,"Ratmalana, Colombo","13,000,000",Bare landSquare shape40 feet wider road Air port FacingClear title  Rs 13million,Ratmalana,Residential,7.6 perches
19,Land for Sale in - Ratmalana, 2 Jul  9:48 pm,"Ratmalana, Colombo","19,000,000","Near the mallikarama temple, facing mallikarama rd, Hiclass residental area,  Suitable for build house.","Mallikarama rd ,sirimal uyana,ratmalana",Residential,6.0 perches
20,Ratmalana Land | for Sale - LL644, 2 Jul  7:10 pm,"Ratmalana, Colombo","40,000,000","20.25 perch land for sale in Mallikarama Road, Ratmalana.",Residential,20.25 perches,
21,Ratmalana Land | for Sale - MCP P641,28 Jun  3:07 pm,"Ratmalana, Colombo","1,200,000,000","738 perch land.This Land is located in Sri Shasanajothi Mw, Ratmalana with a non functioning factory.",Commercial,738.0 perches,
22,Ratmalana 25 Perches Land for Sale,27 Jun  5:08 pm,"Ratmalana, Colombo","1,050,000","Ratmalana, Borupana 25 perches land for sale in 9th lane. LKR 1.05 MN pp negotiable. Good for family to divide and build the house.",9th Lane Borupana,Residential,24.9 perches
23,Land for Sale in Ratmalana,23 Jun  9:54 am,"Ratmalana, Colombo","1,360,000","*The land is located rathmalana kadawala mawatha.*6 Perches.*100 Meters from gall road.*30 Ft road.*The land is facing kadawala mawatha*Close to all banks /schools/hospitals/super market and other amenities.*Good environment and peaceful area.*Price per perch Rs 1,360,000.00.*Negotiable.*You can save in multi millions.*Professional in housing @ land sales the easiest way to buy/sale/rent/lease house @ properties in around sri lanka.***************Come to your dream home**************************************No brokers********************","Kandawala Mawatha , Ratmalana","Commercial, Residential",6.0 perches
24,Land for Sale - Rathmalana,21 Jul  6:57 pm,"Ratmalana, Colombo","1,575,000","Clear deed, 40ft face, facing to 40 feet main road, about 900 mts to gall road, can access from borupana road, close to gateway international school and kothalawala academy","Maaliga Rd, rathmalana","Commercial, Residential",7.0 perches
25,Land for Sale in Ratmalana,18 Jul  7:11 pm,"Ratmalana, Colombo","21,000,000",700m to Galle road Suitable for commercial and residential purposes30ft wide road Land side21million.,dharmadhara mawatha,"Commercial, Residential",10.0 perches
26,Land for Sale Surimaluyana Ratmalana, 5 Jul 10:24 am,"Ratmalana, Colombo","2,200,000",20 feet wide road very good living area,sirimal uyana ratmalana,Residential,10.0 perches
27,Land for Sale Rathmalana,11 Jun  2:11 pm,"Ratmalana, Colombo","520,000","බේකරි හංදිය, මංත්‍රිමුල්ල පාර, රත්මලානහි නිස්කලංක ප්‍රදේශයක පර් 10 ක වටිනා ඉඩමක් ඇත.","බේකරි  හංදිය, මංත්‍රිමුල්ල පාර, රත්මලාන",Other,10.0 perches
28,Residential Land for Sale - Mount Lavinia,19 Jul 11:14 am,"Ratmalana, Colombo","50,000,000",- 400m from the Galle Road- 500m from the Mount Lavinia Police Station- Highly accessible- Includes a housing structure,"64/19 Pirivena Road, Mount Lavinia",Residential,20.0 perches
29,17 Perches Bare Land for Sale at Rathmalana.,10 Jun  1:21 am,"Ratmalana, Colombo","3,700,000",STRICTLY NO BROKERS / AGENT!,"GALLE ROAD,RATHMALANA.","Commercial, Residential",17.0 perches
