,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Cinnamon Land for Sale in - Ambalangoda,21 Jul  8:10 am,"Ambalangoda, Galle","18,000,000",අක්කර 4 පර්චස් 40 ක හොඳින් පළ දරන කුරුඳු ඉඩමකි. කරන්දෙනියේ සිට දුර කි මී 4 යි. අධිවේගයට දුර කි මී 5. ප්රධාන පාරේ සිට ඉඩමට මීටර් 900 යි. ඉඩමටම කාරයකින් යා හැකිය. මාදු ගඟට කිට්ටුයි.. තෙකලා විදුලිය. මුදල් හදිසියකට විකිනේ. අක්කරයක් රු. ලක්ෂ  42.   ගැනුම්කරුවන් පමනක් විමසන්න. දුරකථන,"Maha Edanda - Uragaha Road, Denagoda, Ambalangoda",Agricultural,4.25 acres
2,"['Cinnamon Land for Sale in - Ambalangoda', '21 Jul  8:10 am', 'Ambalangoda, Galle', '18,000,000', 'අක්කර 4 පර්චස් 40 ක හොඳින් පළ දරන කුරුඳු ඉඩමකි. කරන්දෙනියේ සිට දුර කි මී 4 යි. අධිවේගයට දුර කි මී 5. ප්රධාන පාරේ සිට ඉඩමට මීටර් 900 යි. ඉඩමටම කාරයකින් යා හැකිය. මාදු ගඟට කිට්ටුයි.. තෙකලා විදුලිය. මුදල් හදිසියකට විකිනේ. අක්කරයක් රු. ලක්ෂ  42.   ගැනුම්කරුවන් පමනක් විමසන්න. දුරකථන', 'Maha Edanda - Uragaha Road, Denagoda, Ambalangoda', 'Agricultural', '4.25 acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Ambalangoda,23 Jul  8:50 am,"Ambalangoda, Galle","150,000",water electricity 30 feet wide tarring  road availableprime finance easy payment and bank loan facilities availableone year interest free period approvedfacing to Ambalangoda batapola main road3 km to ambalangoda town,"Ambalangoda , dalukkanda junction",Residential,10.0 perches
4,Land for Sale in Ambalangoda,23 Jul  8:49 am,"Ambalangoda, Galle","150,000",water electricity 30 feet wide tarring road available.prime finance easy payment and bank loan facilities availableone year interest free period approvedfacing to ambalangoda batapola main roadvery closed to ambalangoda town,"Ambalangoda , dalukkanda junction",Residential,10.0 perches
5,Land for Sale in Ambalangoda,21 Jul 12:06 pm,"Ambalangoda, Galle","160,000",3 to Ambalangoda town.Facing to Batapola AMbalangoda main bus route.,"Thalgasgoda,Ambalangoda",Residential,8.0 perches
6,Cinnamon Land for Sale in - Ambalangoda,21 Jul  8:10 am,"Ambalangoda, Galle","18,000,000",අක්කර 4 පර්චස් 40 ක හොඳින් පළ දරන කුරුඳු ඉඩමකි. කරන්දෙනියේ සිට දුර කි මී 4 යි. අධිවේගයට දුර කි මී 5. ප්රධාන පාරේ සිට ඉඩමට මීටර් 900 යි. ඉඩමටම කාරයකින් යා හැකිය. මාදු ගඟට කිට්ටුයි.. තෙකලා විදුලිය. මුදල් හදිසියකට විකිනේ. අක්කරයක් රු. ලක්ෂ  42.   ගැනුම්කරුවන් පමනක් විමසන්න. දුරකථන,"Maha Edanda - Uragaha Road, Denagoda, Ambalangoda",Agricultural,4.25 acres
7,Land for Sale in Ambalangoda,19 Jul  5:15 pm,"Ambalangoda, Galle","150,000",water electricity 30 feet wide tarring  road availableprime finance easy payment and bank loan facilities available.one year  interest free period approved,"Ambalangoda , dalukkanda junction",Residential,10.0 perches
8,Land for Sale - Ambalangoda,19 Jul  5:08 pm,"Ambalangoda, Galle","150,000",water electricity 30 feet wide tarring road availableprime finance easy payment and bank loan facilities availableone year interest free period approvedfacing to ambalangoda batapola main road .3 km to ambalangoda town,"Ambalangoda , dalukkanda junction",Residential,10.0 perches
9,Land for Sale in Ambalangoda,23 Jul  9:04 am,"Ambalangoda, Galle","150,000","water , electricity , 30 feet wide tarring road available.prime finance easy payment and bank loan facilities available1 year interest free period approved","Ambalangoda , dalukkanda junction",Residential,10.0 perches
10,අම්බලන්ගොඩ නගරයෙන් බිම් කොටස්.,19 Jul  5:02 pm,"Ambalangoda, Galle","150,000",අම්බලන්ගොඩ නගර සීමාවෙන් ඔබත් අදම පදිංචි වන්න.අම්බලන්ගොඩ නගරයට 3kmඅම්බලන්ගොඩ බටපොල ප්‍රධාන බස් පාරට මුහුණලා නල ජලය විදුලිය සහිත බිම් කොටස්.මුලින් ලක්ෂ හතක් ගෙවා පදිංචි වන්න.,"තල්ගස්ගොඩ,අම්බලන්ගොඩ.","Residential, Other",8.0 perches
11,Land for Sale - Ambalangoda,19 Jul  4:56 pm,"Ambalangoda, Galle","150,000","water , electricity, 30 feet wide tarring road available.prime fiance easy payment and bank loan facilities available","Ambalangoda , dalukkanda junction",Residential,10.0 perches
12,Land For Sale In Ambalangoda,15 Jul  4:48 pm,"Ambalangoda, Galle","190,000","water electricity 30 feet wide tarring road and prime easy payment , bank loan facilities, 6 moths interest free period","AMBALANGODA , KALUWADUMULLA",Residential,9.0 perches
13,Land for Sale in Ambalangoda,12 Jul  7:35 pm,"Ambalangoda, Galle","190,000",prime finance easy payment and bank loan facilities available6 moths interest free period approvedvery closed to ambalangoda town,ambalangoda kaluwadumulla,Residential,10.0 perches
14,Land For Sale In Ambalangoda,15 Jul  6:31 pm,"Ambalangoda, Galle","150,000","water , electrcity , 30 feet wide tarring road availableprime fiance easy payment and bank loan facilities availableone year interest free period approvedfacing to Ambalangoda batapola main rd","Ambalangoda , dalukkanda junction",Residential,10.0 perches
15,Land for Sale in Ambalangoda,11 Jul  4:49 pm,"Ambalangoda, Galle","190,000","water , electricity , 30 feet wide tarring road prime finance easy payment and bank loan facilities available6 months interest free period approved","AMBALANGODA , KALUWADUMULLA",Residential,10.0 perches
16,Land for Sale in Ambalangoda, 9 Jul  9:44 am,"Ambalangoda, Galle","160,000","one year interest free period approved.water , electricity , 30 feet wide tarring road available.prime finance easy payment and bank loan facilities available","Ambalangoda , dalukkanda junction",Residential,10.0 perches
17,Land for Sale in Ambalangoda, 9 Jul  9:26 am,"Ambalangoda, Galle","150,000","water , electricity , 30 feet wide tarring road available.prime finance easy payment system and bank loan facilities availableone year interest freeperiod approved","Ambalangoda , dalukkanda junction",Residential,10.0 perches
18,Land for Sale in Ambalangoda Kaluwadumulla, 6 Jul  2:34 pm,"Ambalangoda, Galle","190,000","very close to ambalangoda town.water , electricity  providedeasy payment system and bank loan facilities available","Ambalangoda , kaluwadumulla",Residential,10.0 perches
19,Land for Sale in Ambalangoda, 6 Jul  2:30 pm,"Ambalangoda, Galle","150,000",water electricity 30 feet wide tarring road availableprime finance easy payment and bank loan facilities availableone year interest free period approvedland located in ambalangoda municipal limited3 km to ambalangoda town,"Ambalangoda , dalukkanda junction",Residential,10.0 perches
20,Land for Sale in Ambalangoda, 5 Jul  4:07 pm,"Ambalangoda, Galle","150,000","water , electricity , 30 feet wide tarring road availableprime finance easy payment and bank loan facilities availableone year interest free period approvedfacing to ambalangoda batapola main road3 km to the ambalangoda town","Ambalangoda , dalukkanda junction",Residential,10.0 perches
21,Land for Sale in Ambalangoda,24 Jul  9:38 am,"Ambalangoda, Galle","155,000","4min to Ambalangoda Town7.5 perch, quick sale,easy access to Balapitiya Hospital,","Andadola , Ambalangoda",Residential,7.5 perches
22,Land for Sale in Ambalangoda, 4 Jul 12:17 pm,"Ambalangoda, Galle","150,000","water , electricity , 30 feet wide tarring road available.prime fiance easy payment and bank loan facilities available.one year interest free period approved.facing to ambalangoda batapola bus root.3 km to ambalangaoda town","Ambalangoda , dalukkanda junction",Residential,10.0 perches
