,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Kochchikade,15 Jul  3:35 pm,"Negombo, Gampaha","200,000",Land for Sale in Kochchikade* කොච්චිකඩේ නගරයට විනාඩි 5යි.(කි.මී 1)* මීගමු නගරයට විනාඩි 15යි* පිහිටි පොළව.* ජල හා විදුලි පහසුකම් ඇත.* පොල් ගස් 10ක් පමණ ඇත.* පදින්චියට වඩාත් සුදුසු ප්‍රදේශයකි.* මිළ ගණන් සාකඡ්චා කල හැක.* ඉක්මණින් විකීනීමට.,Pathima Rd / Kochchikade,Residential,35.0 perches
2,"['Land for Sale in Kochchikade', '15 Jul  3:35 pm', 'Negombo, Gampaha', '200,000', 'Land for Sale in Kochchikade* කොච්චිකඩේ නගරයට විනාඩි 5යි.(කි.මී 1)* මීගමු නගරයට විනාඩි 15යි* පිහිටි පොළව.* ජල හා විදුලි පහසුකම් ඇත.* පොල් ගස් 10ක් පමණ ඇත.* පදින්චියට වඩාත් සුදුසු ප්\u200dරදේශයකි.* මිළ ගණන් සාකඡ්චා කල හැක.* ඉක්මණින් විකීනීමට.', 'Pathima Rd / Kochchikade', 'Residential', '35.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Wattala, 9 Jul  2:49 pm,"Wattala, Gampaha","1,500,000",YOUR NEXT INVESTMENT ?,"Averiwatte Road, Wattala.","Commercial, Residential, Other",63.0 perches
4,Land for Sale - Ragama,14 Jul 11:46 am,"Ragama, Gampaha","5,500,000",This land is very near to ragama church.1.5 km from ragama railway stationAll the documents are clear.Good please to build a house.Reason for selling i m going to live in Australia.You can discuss the price and more information over the phone.(),Residential,14.6 perches,
5,Land for Sale in Negombo - Dalupotha,19 Jul 11:40 am,"Negombo, Gampaha","300,000",මීගමුව – දළුපොත මීගමුව දළුපත හිර කදවුර  මාර්ගයට මුහුණලා සියලු පහසුකම් සපිරි බිම් කොටස් 2ක් සම්පුර්ණ බිම් කොටස පර්චස් 26.4 සමන්විතයි . මේය කොටස්  දෙකකට වෙන් කර ඇති බැවින් පර්චස් 13.2 බැගින් හෝ දිය හැකිය.# ප්‍රධාන පාරේ සිට අඩි 12 පාර ඉඩමටම ..# සින්නක්කර / නිරවුල් ඔප්පු ..# මීගමුව නගරයට විනාඩි 5 න් ..# කොච්චිකඩේ නගරයට විනාඩි 2 න් ..පර්චස් 13.2 ක් වුවද දිය හැක ...# අධික ඉල්ලුමක් පවතින බැවින් ඉක්මණින් විමසන්න ...# අයිතිකරුගේ දූරකථන අoකය පහතින් තිබේ,"Prison camp Road , Thibirigaskatuwa",Residential,26.4 perches
6,Land Sale in Nittambuwa,11 Jul  3:14 pm,"Nittambuwa, Gampaha","65,000",නිට්ටම්ඹුව වතුපිටිවල නගරයෙන් සුපිරිම බිම් කොටසක පදිංචි වීමට අවස්ථාවක්අත්තනගල්ල ඌරාපොල පස්යාල නිට්ටම්ඹුව නගර වලට ඉතාම ආසන්නයේවතුපිටිවල ආයෝජන කලාපයට නුදුරින්කදිම ආයෝජනයක්,"Agricultural, Commercial, Residential, Other",10.0 perches,
7,Land for Sale in Dompe, 9 Jul 11:02 am,"Delgoda, Gampaha","155,000","15 perch land. 50m from Colombo - Pugoda main road.Water, electricity.call for more information.","Agricultural, Commercial, Residential",15.0 perches,
8,12.5 Perches Residential Land available for Sale in Dompe.,22 Jul 11:05 am,"Gampaha, Gampaha","1,650,000",12.5 Perches Residential Land available for sale in Dompe in recently developed land scheme. Just few mints walk to Delgoda – Giridara main road and 10 minutes to Dompe main town. This is a rectangular shape flat solid land with very clear title.,"Mahamewna Asapuwa Rd, Palugama","Residential, Other",12.0 perches
9,Plot no. 01 Land for sale in Kiribathgoda,22 Jul 10:03 am,"Kiribathgoda, Gampaha","335,000","Fully developed land...* 15 minutes from Kiribathgoda,Kadawatha,Kaduwela & Delgoda junction...* Close to highway 8 minutes...* Close to government and international schools,banks,super markets and other establishments...* Clear Deed...* Bank loan can be arranged...* All facilities available...* Down payment 10% of land value...RESERVE YOUR DREAM LAND NOW.....පදිංචියට හොදම තැනක් ……………කිරිබත්ගොඩ, කඩවත ,කඩුවෙල සහ දෙල්ගොඩ නගර වලට විනාඩි 15 න් ළඟා විය හැකි. අධිවේගී මාර්ගයට විනාඩි 8 න් ළඟා විය හැකි.,සුපිරි වෙළදසැල්, රජයේ ප්‍රසිද්ධ පාසල්, ජාත්‍යන්තර පාසල් සදහා විනාඩි කිහිපයකින්ළගා විය හැකි සියළු පහසුකම් සහිත බිම් කොටස් ඔබේම කර ගන්න...","Pelathawana street, Dikwala road, Mawaramandiya","Commercial, Residential",10.0 perches
10,6.65 Perches Land For Sale in - Wattala,22 Jul  9:32 am,"Wattala, Gampaha","5,900,000","6.65 LAND FOR SALE IN Wattala, HunupitiyaAround 120 meters from Hunupitiya Railway crossing main road. Around 600m to Handala & wattala junction . And also close tho Kiribathgoda Junction. Rs 5,900,000/= Total price.--------------------------Ideal For:---- / Residence houseGOOD INVESTMENT","Wattala, Hunupitiya",Residential,6.65 perches
11,Land for Sale in Negombo,13 Jul  3:50 pm,"Negombo, Gampaha","140,000",පදිංචියට හොඳම තැනක්මීගමුව - මිරිස්වත්ත නගරයෙන් සියලු පහසුකම් සපිරි බිම් කොටස් 24ක්බිම් කොටසම ලක්ෂ 14 යිනල ජලය සහ විදුලිය සහිතයි,"Commercial, Residential",10.0 perches,
12,"Land for Sale in Ranmuthugala, kadawatha.",22 Jul  9:15 am,"Kadawatha, Gampaha","600,000","8 Perches Land for Sale in Ranmuthugala, kadawatha. Very close to Colombo –Kandy main road. Calm and quite area with decent neighborhood.",Ranmuthugala,"Commercial, Residential",8.0 perches
13,Land for Sale in Kiribathgoda, 6 Jul  2:16 pm,"Kiribathgoda, Gampaha","4,500,000",Highly residential land for sale in Kiribathgoda - Makola.Ten (10) perches available with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,10.0 perches,
14,Land for Sale Near Kadawatha Highway,22 Jul  9:10 am,"Kadawatha, Gampaha","490,000","කඩවත ඉඩමක් විකිණීමට ඇත. 9 වන සැතපුම් කණුව මංසන්ධිය, කඩවත. කඩවත මාර්ගයේ පිවිසුම විනාඩි 5ක් ඇතුළත ළඟා විය හැකිය. ඉඩම පර්චස 10කි.කඩවත සසෙක්ස් විද්යාලයට ඉතා ආසන්නයේ පිහිටා ඇත. කොළඹ-නුවර ප්රධාන මාර්ගයේ 800m ඇතුලත පිහිටා ඇත. අඩි 15 ක් පමණ ප්රවේශ මාර්ගයක් ඇත. නේවාසික සංවර්ධන සඳහා ඉතා හොඳ ස්ථානයක්. හොඳ සමාජ අසල්වැසි ස්ථානය. චතුරස්රයේ හැඩැති තැනිතලා භූමිය. පැහැදිලි ඔප්පු තිබේ. විදුලිය, ජලය ලබා ගත හැකිය. අව්යාජ ගැනුම්කරුවන් පමණි.",Kadawatha,Residential,10.0 perches
15,"20 Perch Land for Sale in - Old road, Kandana",20 Jul  9:07 am,"Kandana, Gampaha","750,000",20 Perch Land for Sale on Old Dro Road. Call for More Information.,Residential,20.0 perches,
16,Valuable Land for Sale - Makola Sabawa R D,22 Jul 11:46 am,"Kadawatha, Gampaha","450,000",20p Land Facing two roads,Makola,"Residential, Other",20.0 perches
