,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Excellent Land Plots In Kadawatha Superb Residential Hub,18 Jul  8:06 am,"Kadawatha, Gampaha","350,000",දිනෙන් දින ඉහළ යන ඉඩම් මිල අතුරින්ආයෝජනයක ලැබෙන ඉහළම වටිනාකම,Kadawatha,Residential,7.0 perches
2,"['Excellent Land Plots In Kadawatha Superb Residential Hub', '18 Jul  8:06 am', 'Kadawatha, Gampaha', '350,000', 'දිනෙන් දින ඉහළ යන ඉඩම් මිල අතුරින්ආයෝජනයක ලැබෙන ඉහළම වටිනාකම', 'Kadawatha', 'Residential', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Kadawatha Kirillawala,24 Jul  6:09 pm,"Kadawatha, Gampaha","250,000",Kirillawala 514 bus road 300m kadawatha highway 10 minutes  2km from kandy road 250000 pp,Residential,6.0 perches,
4,Land for sale in Kadawatha | Weboda,29 Jul  3:00 pm,"Kadawatha, Gampaha","180,000",Land for sale in Kadawatha | Weboda,Kadawatha | Weboda,"Commercial, Residential",15.0 perches
5,30 Perch Land With Two Houses In Kadawatha,29 Jul  3:19 pm,"Kadawatha, Gampaha","16,500,000","( You need to pay Land value only)This property situated in Maharanugegoda,","Maharanugegoda, Dharmadarshi mawatha, Ganemull road, Kadawatha",Residential,30.0 perches
6,Land for Sale Near Kadawatha Highway,22 Jul  9:10 am,"Kadawatha, Gampaha","490,000","කඩවත ඉඩමක් විකිණීමට ඇත. 9 වන සැතපුම් කණුව මංසන්ධිය, කඩවත. කඩවත මාර්ගයේ පිවිසුම විනාඩි 5ක් ඇතුළත ළඟා විය හැකිය. ඉඩම පර්චස 10කි.කඩවත සසෙක්ස් විද්යාලයට ඉතා ආසන්නයේ පිහිටා ඇත. කොළඹ-නුවර ප්රධාන මාර්ගයේ 800m ඇතුලත පිහිටා ඇත. අඩි 15 ක් පමණ ප්රවේශ මාර්ගයක් ඇත. නේවාසික සංවර්ධන සඳහා ඉතා හොඳ ස්ථානයක්. හොඳ සමාජ අසල්වැසි ස්ථානය. චතුරස්රයේ හැඩැති තැනිතලා භූමිය. පැහැදිලි ඔප්පු තිබේ. විදුලිය, ජලය ලබා ගත හැකිය. අව්යාජ ගැනුම්කරුවන් පමණි.",Kadawatha,Residential,10.0 perches
7,Land for Sale - Kadawatha,27 Jul  7:07 pm,"Kadawatha, Gampaha","350,000",Land for sale in kadawatha,kadawatha,"Commercial, Residential",30.0 perches
8,Land in Kadawatha 20p,17 Jul  1:45 pm,"Kadawatha, Gampaha","650,000",Good residential land within 350m - 500m radius to Kadawatha Expressway & Suvatha Uyana Childrens park. Peaceful surrounding and good neighbourhood.,"539/1 Gramasanwardhane mw, Kadawatha",Residential,19.7 perches
9,"Land for Sale in kadawatha eldeniya,",28 Jul  3:11 pm,"Kadawatha, Gampaha","650,000",Perch 16Highly residence area kadawatha Colombo kandy bus route  800m ,"eldeniya Church Road, sooriya wimana kadawatha",Residential,16.0 perches
