,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale Raddoluwa,23 Jul 12:47 pm,"Katunayake, Gampaha","300,000","15 Perch Land for Immediate sale in ,244 gammada-negombo road  , 10 minutes drive to International Airport Katunayaka, near the National Housing Scheme (N.H.S.) Raddolugama. 600m for raddoluwa school .","Raddoluwa,Seeduwa",Residential,15.0 perches
2,"['Land for Sale Raddoluwa', '23 Jul 12:47 pm', 'Katunayake, Gampaha', '300,000', '15 Perch Land for Immediate sale in ,244 gammada-negombo road  , 10 minutes drive to International Airport Katunayaka, near the National Housing Scheme (N.H.S.) Raddolugama. 600m for raddoluwa school .', 'Raddoluwa,Seeduwa', 'Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,"River Bordering Land for Sale in Raddolugama, Seeduwa",29 Jul  3:03 pm,"Katunayake, Gampaha","175,000","103 Perches, River Bordering Land for Sale at an high elevation with beautiful views of the River. Short distance to Seeduwa/ Raddolugama city. The surroundings provide an ideal location for Holiday Bungalow, Guest House or Residential purpose.","Muthuwadiya Rd, Raddolugama","Agricultural, Commercial, Residential",103.0 perches
4,"Land for Sale in Kurana, Katunayake",22 Jul  6:02 pm,"Katunayake, Gampaha","700,000","Land for sale in Kurana - Vissakanuwa Junction  near Negombo & Katunayake town (2KM to Negombo town & 1KM to Katunayake town) With all facilities, peaceful surrounding & clear documents.STRICTLY NO BROKERS OR AGENT'S GENUINE BUYER'S ARE WELCOME.","No: 4/331, Air Force Road, Kurana, Katunayake",Residential,8.0 perches
5,Valuable Land for Sale in Minuwangoda,28 Jul  2:39 pm,"Katunayake, Gampaha","305,000","Just 2.5 kms to Bandaranayake Airport ✈ *Clear deed, water & 3 phase electricity.*Walking distance to super markets, leading tourist hotels.*30'-0"" wide access road.* Idial for a transit apartment for tourists.* Prestigious environment.","""Big City"", Pillawaththa, Minuwangoda.",Residential,13.3 perches
6,Land in Seeduwa,26 Jul 11:19 am,"Katunayake, Gampaha","775,000","Just 50 m to the Seeduwa town & Negambo road.800 m to the Highway entrance.5 Minutes away from Air port.Reservation = 100,000/-Down payment = 25%Balance can pay 12 month interest free or prime finance loan.","Liyanagemulla road, Seeduwa.","Commercial, Residential",10.0 perches
7,Land For Sale in Katunayake,25 Jul 10:19 pm,"Katunayake, Gampaha","510,000",18th mile post in katunayake Colombo main road. 800m to High way Enterence. Form more details please contact bellow mentioned mobile numbers.,Katunayake,Residential,25.0 perches
8,Land for sale in Katunayake,23 Jul  3:52 pm,"Katunayake, Gampaha","660,000","Property has an old house , value of it is nit added to the price ","Nayaka Road,Katunayake","Residential, Other",38.0 perches
9,Land for sale - Katunayake,23 Jul  3:05 pm,"Katunayake, Gampaha","1,750,000",කටුනායක රාජපක්ෂපුර පර්චස් 10 ක අගනා ඉඩමක් අඩුම මිලට.,රාජපක්ෂපුර,Residential,10.0 perches
