,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale in Kiribathgoda,24 Jul  4:17 pm,"Kiribathgoda, Gampaha","410,000",Highly residential land for sale in Kiribathgoda - Makola.Twenty (20) perches available (10 perches blocks can also be arranged) with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,20.0 perches,
2,"['Land for Sale in Kiribathgoda', '24 Jul  4:17 pm', 'Kiribathgoda, Gampaha', '410,000', 'Highly residential land for sale in Kiribathgoda - Makola.Twenty (20) perches available (10 perches blocks can also be arranged) with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!', 'Residential', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Makola,18 Jul  3:28 pm,"Kiribathgoda, Gampaha","6,500,000","Makola Batalanda Sapumaluyana 10.01P rectangular land carpeted road beautiful calm peaceful area 3 sides parapet walls & steel fence water tank, servant toilet, drainage line, rain water line, drainage pit available 3Phase electricity & Water can be applied various trees available few meters to Sapugaskanda & Makola Junctions, Police Station, Vishaka Balika College, Ashoka College & Central College, Petroleum Refinery, Udupila-Delgoda-Kaduwela-Free Trade Zone access Roads, Post Office, Pradeshiya Sabha, Biyagama Maha Lekam Office, all major banks, nearby Clear deeds & titles All enquiries  ","Batalanda Road, Makola South, Makola ; in-front of Defence Services Command and Staff College",Residential,10.01 perches
4,Land for Sale Budupilima Junction - Mawaramandiya Facing Main Road,17 Jul  1:16 pm,"Kiribathgoda, Gampaha","900,000",16P BARE SQUARE BLOCK LAND FOR SALE IN BUDUPILIMA JUNCTION – MAWARAMANDIYA FACING DELGODA - KIRIBATHGODA MAIN ROAD,"Commercial, Residential, Other",16.0 perches,
5,Land For Sale In Kiribathgoda Wiharamahadevi Road,29 Jul  2:59 pm,"Kiribathgoda, Gampaha","1,100,000","Perch 6Highly residence area kiribathgoda, Near by Wiharamahadevi Girls College Colombo kandy bus route  150meters    75 m Wiharamahadevi girls college ","kiribathgoda, Wiharamahadevi Road",Residential,6.0 perches
6,Land for Sale in Kiribathgoda,24 Jul  4:17 pm,"Kiribathgoda, Gampaha","410,000",Highly residential land for sale in Kiribathgoda - Makola.Twenty (20) perches available (10 perches blocks can also be arranged) with ALL the clear documents (bank loans can be easily taken as ALL the documents are clear and available).Suitable for new house builders !!,Residential,20.0 perches,
7,Land For Sale In Kiribathgoda,28 Jul  8:03 pm,"Kiribathgoda, Gampaha","600,000",*face to main road *to mawara mandiya junction 100m*to kiribathgoda makola road 2km*to kiribathgoda 5km*to colombo port 10km*this land is good condition land*හරි හතරැස් ඉඩමකි*this land can use for build your business place or build house *we give one perch 600000*we don't need brokes,"makola road,mavara mandiya,kiribathgoda",Other,40.0 perches
8,Valuable Land for Sale - Makola Sabawa Rd,28 Jul 11:15 am,"Kiribathgoda, Gampaha","450,000",19.5p Land Facing two roads,Makola,"Residential, Other",19.5 perches
9,Land for Sale - Kiribathgoda,28 Jul  9:28 am,"Kiribathgoda, Gampaha","1,100,000","Perch 6Highly residence area kiribathgoda, Near by Wiharamahadevi Girls College Colombo kandy bus route  150meters    75 m Wiharamahadevi girls college ",kiribathgoda Wiharamahadevi rd.,Residential,6.0 perches
