,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,ව්‍යාපාරික ඉඩමක් - කොටදෙණියාව,10 Jul  1:38 pm,"Mirigama, Gampaha","235,000",කොළඹ කුරුණෑගල මාර්ග අංක05 ප්‍රධාන මාර්ගයට මුහුණලා ප්‍රසිද්ධ ඇගලුම් කර්මාන්ත ශාලාවක් ඉදිරිපිට ප්‍රඵම පංන්තියේ පිරිසිදු ඔප්පු සහිතයි විදුලිය නල ජලය ලිං ජලය සහිතයි .,කොළඹ කුරුණෑගල මාර්ග අංක05 කොටදෙණියාව .,Commercial,30.0 perches
2,"['ව්\u200dයාපාරික ඉඩමක් - කොටදෙණියාව', '10 Jul  1:38 pm', 'Mirigama, Gampaha', '235,000', 'කොළඹ කුරුණෑගල මාර්ග අංක05 ප්\u200dරධාන මාර්ගයට මුහුණලා ප්\u200dරසිද්ධ ඇගලුම් කර්මාන්ත ශාලාවක් ඉදිරිපිට ප්\u200dරඵම පංන්තියේ පිරිසිදු ඔප්පු සහිතයි විදුලිය නල ජලය ලිං ජලය සහිතයි .', 'කොළඹ කුරුණෑගල මාර්ග අංක05 කොටදෙණියාව .', 'Commercial', '30.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,ව්‍යාපාරික ඉඩමක් - කොටදෙණියාව,10 Jul  1:38 pm,"Mirigama, Gampaha","235,000",කොළඹ කුරුණෑගල මාර්ග අංක05 ප්‍රධාන මාර්ගයට මුහුණලා ප්‍රසිද්ධ ඇගලුම් කර්මාන්ත ශාලාවක් ඉදිරිපිට ප්‍රඵම පංන්තියේ පිරිසිදු ඔප්පු සහිතයි විදුලිය නල ජලය ලිං ජලය සහිතයි .,කොළඹ කුරුණෑගල මාර්ග අංක05 කොටදෙණියාව .,Commercial,30.0 perches
4,මීරිගම ඉඩමක් ඉක්මනින් විකිණීමට,29 Jul  9:14 am,"Mirigama, Gampaha","2,000,000",මීරිගම අලව්ව ප්‍රධාන මාර්ගයේ කන්ඩලම පිටකොටුව තැනිතලා ප්‍රදේශයක පර්. 12ක ඉඩමක් විකිණීමට ඇත. අධිවේගී පිවිසුමට හා දුම්රිය ස්ථානයට 0.5Km ක දුරින් මෙම ඉඩම පිහිටා ඇත. මාර්ග පහසුකම් ආදී සියල්ලම සහිතයි. නිරවුල් ඉඩමකි. ණය පහසුකම් ලබා ගැනීමටද හැකියාව ඇත.,"Residential, Other",12.0 perches,
5,Mirigama - Walawwaththa 20 Perch Land For Sale,27 Jul 11:23 am,"Mirigama, Gampaha","415,000",Mirigama - Walawwaththa 20 Perch Land for Sale (In front of the church),"Walawwa Road, Walawwaththa - Mirigama",Residential,20.0 perches
6,Land For Sale In Mirigama,26 Jul  2:33 pm,"Mirigama, Gampaha","1,550,000",මීරිගම - මීගමුව ප්‍රධාන මාර්ගයට මීටර් 20 ක් පමණ දුරින්නාවාන හා හෙට්ටිමුල්ල අතර යටිමීය ගමෙන් සියලු පහසුකම් සහිත තැන්තලා ඉඩමපර්චස් 24 බිම් කොටස් 3 ක් සම්පූර්ණයෙන් හෝ කොටස් වශයෙන් විකිණීමටඑක් බිම් කොටසක කුඩා නිවසක් ද ඇතනිරවුල් ඹප්පුස්වභාවික ආපදාවලින් තොරයි මීරිගම නගරය / දුම්රිය ස්ථානය / බස් නැවතුම් පොළ  හා අධිවේගී මාර්ගයේ මීරිගම පිවිසුමට කි.මි 5 යිකොටදෙණියාව නගරය. කොළඹ 5 ප්‍රධාන මාර්ගයට කි.මි 3 යි පර්චස් 24 ක් රු. 15.50/= යි,MIRIGAMA,Residential,24.0 perches
7,Land for Sale in Mirigama,23 Jul  9:24 pm,"Mirigama, Gampaha","180,000",~~ නගරාසන්නයේම පිබිදෙන ඉසව්වක ඉස්තරම් ආයෝජනයක්~~______________මීරිගම_____________,"Nittabuwa - Giriulla Main Rd, Mirigama",Residential,12.5 perches
8,මිරිගම නගරයට 1 . 5 km දුරින් ඉඩමක්,23 Jul  1:32 pm,"Mirigama, Gampaha","85,000","මිරිගම නගරයට ,දුම්රියපොළට විනාඩි 5 දි ලගාවිය හැකිය . මාලදෙණිය ප්‍රධාන මාර්ගයට 999 හා මිගමුව මාර්ගයට අතර 500 මිටර් .",හකුරුකුඔුර  මිරිගම,Residential,15.0 perches
9,අගනා ඉඩමක් - මිරිගම,23 Jul 10:49 am,"Mirigama, Gampaha","55,000","මිරිගම නගරයට 6km පමණ දුරින් මාලදෙණිය ප්‍රධාන මාර්ගයට 100m දුරින්  සාරවත් පොල් ,පුවක් ,තේක්ක , ගස්කොළන්  සහිත  නිරවුල් ඔප්පු ලිං ජලය බහුල , විදුලිය,  කොටස් වශයෙන්ද ලබාගත හැකිය .","දෙල්වල, මිරිගම","Agricultural, Residential, Other",60.0 perches
10,Land for Sale in Raddalgoda,20 Jul  2:26 pm,"Mirigama, Gampaha","115,000","ගම්පහ දිස්ත්‍රික්කයේ මීරිගම ප්‍රධාන නගරයට  නුදුරින් කල්ඒළිය පල්ලෙවෙල ප්‍රධාන පාරට අාසන්නව ගම්සභා පාරට මුහුණලා රද්දල්ගොඩ පර්චස් 61 ක තැනිතලා පොල් ඉඩම කල්ඒළිය නගරයට 1/2 KM  , පල්ලෙවෙල දුමිරිය ස්ථානයට 1/2KM  පල්ලෙවෙල මහා විද්‍යාලයට 1/4 KM  පමණ තෙකලා විදුලිය, පිරිසිදු ලිං ජලය,පිරිසිදු ඔප්පු සහිත ඉඩම විකිණිමට අැ.‍ත. ඉඩම අසල පල්ලෙවෙල මීරිගම අධිවේගි මාර්ගය පිහිටා අැත.","Agricultural, Commercial, Residential",61.0 perches,
11,Land | Yakkala For Sale Lot 7,25 Jul 12:51 pm,"Mirigama, Gampaha","220,000","50,000/= ගෙවා ඉඩම වෙන්කරව ගන්න *මුලික ගෙවීම 30% ගෙවා ඉතිරිය බැංකු ණය මඟින් *පොළී රහිතව මාස 3න්  ගෙවන්න නැතිනම් ,*මුලිකව 30% ගෙවා ඉතිරිය ආයතනය මගින් දෙන පහසු ගෙවීමේ ක්ර මය යටතේ වසර 10 ක් දක්වා ගෙවීමේ පහසුකම් *එකවර ගෙවීමේදී සුවිශේෂ වට්ටම .ගාර්ඩ්යන් ලෑන්ඩ්ස් (පුද්) සමාගම",Yakkala to Kandy Road - යක්කල - නුවර පාර,Residential,12.75 perches
12,Land for sale giriulla,16 Jul 10:31 pm,"Mirigama, Gampaha","100,000",Giriulla nalla 3 lands of 16 perches for sale,"Commercial, Residential",16.0 perches,
13,Land sale with house in Mirigama,13 Jul 10:48 am,"Mirigama, Gampaha","55,000",2km to Ambepussa Railway Station4Km to Kandy Road5km to Mirigama Town,Mirigama,Residential,160.0 perches
14,මිරිගම අායෝජන කාලාපය⁣ට යාබදව ඉඩමක් .,10 Jul  1:32 pm,"Mirigama, Gampaha","120,000","මිරිගම ලොුලුවාගොඩ ආයෝජන කාලාපයට යාබදව පිහිටා ඇත .පර්චස් 20,15,45, වශයෙන්ද ලබාගත හැකිය .ප්‍රධාන මාර්ගයට 100m .",මිරිගම ලොුලුවාගොඩ .,"Commercial, Residential",20.0 perches
15,කොළඹ කුරුණෑගල 05 මුහුණලා ව්‍යාපාරික ඉඩමක් .,10 Jul 12:51 pm,"Mirigama, Gampaha","165,000","කොළඹ කුරුණෑගල මාර්ග අංක05 ට මුහුණලා  අංගසම්පූර්ණ නිවසක් සහිත, නිරවුල් ඔප්පු , විදුලිය නල ජලය  ලිං 02ක් ,පොල්, තේක්ක, කජු සහිතයි , ගිරිඋල්ල නගරයට 2km , මිරිගම නගරයට ,ආයෝජන කාලාපය , දුම්රියපොළට ,අධිවේගී පිවිසීමට ,පහසුවෙන් ලගාවිය හැකිය .සංචාරක හෝටලයක් ,කන්ටේනර් අංගනයකට , කර්මාන්ත ශාලාවක් ඉදිකිරීමට සුදුසුiයි . පර්චසයක වෙළඳ පොළ තක්සේරුව ලක්ෂ 350000 පමණ වේ . පර්චස් 100 වැඩි කොටස් වශයෙන්ද ලබාගත හැකිය .",මාර්ග අංක05 මංතිකඩෙ හංදිය .,"Commercial, Residential, Other",360.0 perches
16,ණය පහසුකම් සහිත ඉඩමක් මිරිගම,10 Jul 12:11 pm,"Mirigama, Gampaha","60,000","මිරිගම  ගිරිඋල්ල 221 ප්‍රධාන මාර්ගයට 600m  මිරිගම නගරයට දුම්රියපොළට අධිවේගී පිවිසීමට 5km, ගිරිඋල්ල නගරයට 2km , දම්⁣රෝ කර්මාන්ත ශාලාවට 700m. 100% ණය පහසුකම් සහිතයි .",ලොුලුවාගොඩ මිරිගම .,Residential,21.0 perches
17,අගනා ඉඩමක් - මිරිගම,27 Jul  3:48 pm,"Mirigama, Gampaha","50,000",මිරිගම  නගරයට  දුම්රියපොළට 3km යි.  මාලදෙණිය ප්‍රධාන මාර්ගයට 500mයි . කහදව ප්‍රාථමික විදුහල අසල  නිරවුල් ඔප්පු සහිතයි . කඩිනමින් ණය පහසුකම් .60%ක්..,කහදව මිරිගම .,Residential,18.0 perches
