,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Kochchikade,15 Jul  3:35 pm,"Negombo, Gampaha","200,000",Land for Sale in Kochchikade* කොච්චිකඩේ නගරයට විනාඩි 5යි.(කි.මී 1)* මීගමු නගරයට විනාඩි 15යි* පිහිටි පොළව.* ජල හා විදුලි පහසුකම් ඇත.* පොල් ගස් 10ක් පමණ ඇත.* පදින්චියට වඩාත් සුදුසු ප්‍රදේශයකි.* මිළ ගණන් සාකඡ්චා කල හැක.* ඉක්මණින් විකීනීමට.,Pathima Rd / Kochchikade,Residential,35.0 perches
2,"['Land for Sale in Kochchikade', '15 Jul  3:35 pm', 'Negombo, Gampaha', '200,000', 'Land for Sale in Kochchikade* කොච්චිකඩේ නගරයට විනාඩි 5යි.(කි.මී 1)* මීගමු නගරයට විනාඩි 15යි* පිහිටි පොළව.* ජල හා විදුලි පහසුකම් ඇත.* පොල් ගස් 10ක් පමණ ඇත.* පදින්චියට වඩාත් සුදුසු ප්\u200dරදේශයකි.* මිළ ගණන් සාකඡ්චා කල හැක.* ඉක්මණින් විකීනීමට.', 'Pathima Rd / Kochchikade', 'Residential', '35.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Negombo - Dalupotha,19 Jul 11:40 am,"Negombo, Gampaha","300,000",මීගමුව – දළුපොත මීගමුව දළුපත හිර කදවුර  මාර්ගයට මුහුණලා සියලු පහසුකම් සපිරි බිම් කොටස් 2ක් සම්පුර්ණ බිම් කොටස පර්චස් 26.4 සමන්විතයි . මේය කොටස්  දෙකකට වෙන් කර ඇති බැවින් පර්චස් 13.2 බැගින් හෝ දිය හැකිය.# ප්‍රධාන පාරේ සිට අඩි 12 පාර ඉඩමටම ..# සින්නක්කර / නිරවුල් ඔප්පු ..# මීගමුව නගරයට විනාඩි 5 න් ..# කොච්චිකඩේ නගරයට විනාඩි 2 න් ..පර්චස් 13.2 ක් වුවද දිය හැක ...# අධික ඉල්ලුමක් පවතින බැවින් ඉක්මණින් විමසන්න ...# අයිතිකරුගේ දූරකථන අoකය පහතින් තිබේ,"Prison camp Road , Thibirigaskatuwa",Residential,26.4 perches
4,Land for Sale in Negombo,13 Jul  2:28 pm,"Negombo, Gampaha","120,000",මීගමුව – කඩවල නගරයෙන් මීගමුව දිවුලපිටිය ප්‍රධාන මාර්ගයට මුහුණලා සියලු පහසුකම් සපිරි බිම් කොටස්බිම් කොටසම ලක්ෂ 12 සිට,"Commercial, Residential, Other",10.0 perches,
5,Land for Sale - Negombo,29 Jul 12:09 pm,"Negombo, Gampaha","3,700,000",behind  the st Necalas  college  and behind the Marisstella college ( BRANCH)close by wijaypala   ground05 minits  to Negombo,"Diulapitiya road ,Thibiriguskatuwa ,  Negombo",Residential,12.5 perches
6,Land for Sale in Negombo - Dalupotha,19 Jul 11:40 am,"Negombo, Gampaha","300,000",මීගමුව – දළුපොත මීගමුව දළුපත හිර කදවුර  මාර්ගයට මුහුණලා සියලු පහසුකම් සපිරි බිම් කොටස් 2ක් සම්පුර්ණ බිම් කොටස පර්චස් 26.4 සමන්විතයි . මේය කොටස්  දෙකකට වෙන් කර ඇති බැවින් පර්චස් 13.2 බැගින් හෝ දිය හැකිය.# ප්‍රධාන පාරේ සිට අඩි 12 පාර ඉඩමටම ..# සින්නක්කර / නිරවුල් ඔප්පු ..# මීගමුව නගරයට විනාඩි 5 න් ..# කොච්චිකඩේ නගරයට විනාඩි 2 න් ..පර්චස් 13.2 ක් වුවද දිය හැක ...# අධික ඉල්ලුමක් පවතින බැවින් ඉක්මණින් විමසන්න ...# අයිතිකරුගේ දූරකථන අoකය පහතින් තිබේ,"Prison camp Road , Thibirigaskatuwa",Residential,26.4 perches
7,Land for Sale in Negombo,13 Jul  3:50 pm,"Negombo, Gampaha","140,000",පදිංචියට හොඳම තැනක්මීගමුව - මිරිස්වත්ත නගරයෙන් සියලු පහසුකම් සපිරි බිම් කොටස් 24ක්බිම් කොටසම ලක්ෂ 14 යිනල ජලය සහ විදුලිය සහිතයි,"Commercial, Residential",10.0 perches,
8,Land for sale in Negombo Akkarapanaha,29 Jul 11:38 am,"Negombo, Gampaha","650,000","VALUABLE LAND FOR SALE IN NEGOMBO (AKKARAPANAHA) €€€€€€€€ –  1 min to Keels / Sussex College–  4 min to NEGOMBO TOWN / ARPICO -  10 min to Negombo ETTUKALA TOURIST AREA- 15 min to HIGHWAY & AIRPORTClear deeds.. 14 perches..  675,000/=% Good Place For Residence.සියලුම නාගරික පහසුකම් සහිතව.– ආරක්ශිත වටපිටාවක්.",Residential,14.0 perches,
9,Land for Sale in - Negombo,28 Jul  4:40 pm,"Negombo, Gampaha","390,000",Good Land for Sale in Negombo - Katuwapitiya,"Commercial, Residential",14.5 perches,
10,Land for Sale in - Katana,27 Jul  3:53 pm,"Negombo, Gampaha","145,000",සියල් සපිරි සුපිරි නගරයලංකාවේ පුංචි ඉතාලියෙන්____Capital Park___,"Kandawala , Katana",Residential,10.0 perches
11,Land for Sale at - Kochchikade,27 Jul  3:48 pm,"Negombo, Gampaha","375,000","13 Perches Land for Sale in Kochchikade. Just  400m to Kochchikade Town (colombo – Puttalam Main Road),300m to Kochchikade Police Station,200m to Kochchikade Maha Vidyalaya, 7 Km to Negombo Town and To 15 Km to Katunayake International Airport.Close Proximity to Banks, Government & International Schools, Super Markets, Railway Station and Other Establishments.Clear Deeds & Title.Immediate for Sale....",Residential,13.0 perches,
12,Land for Sale - Ja Ela,27 Jul  6:15 pm,"Negombo, Gampaha","1,400,000","යක්කඩුව පල්ලිය ආසන්නයේ පිහිටා ඇත. මාර්ග, විදුලි සහ ජල පහසුකම් සහිතය","Yakkaduwa, Jaella",Other,9.55 perches
13,Land in Negombo,27 Jul 11:35 am,"Negombo, Gampaha","350,000",🛫🛫 LAND IN NEGOMBO 🛫🛫,negombo,Residential,10.0 perches
14,Land for Sale - Negombo,27 Jul  2:28 pm,"Negombo, Gampaha","2,975,000",5min from chilaw to colombo main road and 10. Min to negombo town.            Clear deed,dalupotha 2nd lane left,Other,10.0 perches
15,Land in Negambo,26 Jul 12:16 pm,"Negombo, Gampaha","525,000","Just 2 minutes to the Negambo main road.Facing 246 Negambo / Minuwangoda Bus road.High residential aria with many facilities.10 Minutes away from Katunayaka Airport & Highway entrance.Only 10 Valuable land plots are available.Reservation = 100,000/-Down payment = 20%Balance can pay 12 month interest free or prime finance loan.","Minuwangoda road, Negambo","Commercial, Residential",10.0 perches
16,Land For Sale In Negombo (Kadirana Junction),26 Jul  4:06 am,"Negombo, Gampaha","350,000",Valuable land for saleNear Kadirana Junction (Negambo - Diulapitiya Road)20ft wide road to land75m to main road100m to Junction10min to Negambo Town25min to AirportCLEAR DEED,"Commercial, Residential",60.0 perches,
17,Land for Sale in Negombo,25 Jul  9:24 am,"Negombo, Gampaha","7,000,000",85 perchesWith a house(optional)නිදහස් ප්‍රදේශයක්🙏,Other,85.0 perches,
