,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Developed Land for Sale in Nittambuwa,18 Jul  9:27 pm,"Nittambuwa, Gampaha","295,000","නිට්ටඹුව, දංගොල්ලවත්තේ අත්තනගල්ල නිට්ටඹුව ප්‍රධාන මාර්ගයට මීටර් 150 ක දුරින් පර්චස් 18 බැගින් වූ සංවර්ධිත ඉඩමක් වහාම විකිණීමට ඇත. ","දංගොල්ලවත්ත, නිට්ටඹුව",Residential,18.0 perches
2,"['Developed Land for Sale in Nittambuwa', '18 Jul  9:27 pm', 'Nittambuwa, Gampaha', '295,000', 'නිට්ටඹුව, දංගොල්ලවත්තේ අත්තනගල්ල නිට්ටඹුව ප්\u200dරධාන මාර්ගයට මීටර් 150 ක දුරින් පර්චස් 18 බැගින් වූ සංවර්ධිත ඉඩමක් වහාම විකිණීමට ඇත. ', 'දංගොල්ලවත්ත, නිට්ටඹුව', 'Residential', '18.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in - Kalagedihena,18 Jul 12:12 pm,"Nittambuwa, Gampaha","3,000,000","Land for Sale in Kalagedihena, Kiththammahara Godalla Road. 1.5KM to the Kandy Road.8.75 perches landPRICE Rs 3,000,000 (3 Million) (price slightly negotiable)","Kalagedihena, Kiththammahara Godalla Road",Residential,8.75 perches
4,Land Sale in Nittambuwa,11 Jul  3:14 pm,"Nittambuwa, Gampaha","65,000",නිට්ටම්ඹුව වතුපිටිවල නගරයෙන් සුපිරිම බිම් කොටසක පදිංචි වීමට අවස්ථාවක්අත්තනගල්ල ඌරාපොල පස්යාල නිට්ටම්ඹුව නගර වලට ඉතාම ආසන්නයේවතුපිටිවල ආයෝජන කලාපයට නුදුරින්කදිම ආයෝජනයක්,"Agricultural, Commercial, Residential, Other",10.0 perches,
5,Land for Sale in Thihariya,22 Jul 11:23 am,"Nittambuwa, Gampaha","900,000","15 perch land for immediate sale in thihariya 50 meters to colombo-kandy main road, walking distance  Very close to thihariya town 900,000 per perchHighly residential and commercial areaClear road access three phase electricity, water line Fully Boundary Wall DoneClear Deeds","Rupasingha Garden, Thihariya","Commercial, Residential",15.0 perches
6,Land For Sale In Kalagedihena,22 Jul 11:05 am,"Nittambuwa, Gampaha","375,000",• A square shaped land of 40 perches.• Facing to the Kalagedihena - Veyangoda road.• Including coconut plants.• Clear plans and legal documents with the approval of       pradeshiya sabha. • 1 km away from Colombo - Kandy main road.• Easy access for the veyangoda town and railway station and magalegoda railway station.,Kalagedihena - Veyangoda Road,Residential,40.0 perches
7,Land for Sale Nitabuwa,16 Jul  4:48 pm,"Nittambuwa, Gampaha","190,000",LAND FOR SALE IN NITABUWAනිට්ටඹුව - නුවර - කොළඹ පාර මිටර් 750 දුරින් මනරම් වෙල්‍ යායක් ඉදිරිපිට ප‍ර්චස් 40 අගනා  පොල්  ඉඩම .පිරිසිදු ඔප්පු .වැදගත් පරිසරය පර්චස් 20 වුවද ලබා ගත හැකවාහන හුවමාරු සලකා බැලෙ .සියලුම පහසුකම් සහිතයි .මුදල් හදිස්සියක් විකිණේ  . විස්තර සදහා අමතන්න .පර්චස් එකක මිල  190000/=,නිට්ටඹුව,Residential,40.0 perches
8,Land for Sale - Kalagedihena,21 Jul 11:43 am,"Nittambuwa, Gampaha","1,700,000",Land for sale in kalagedihena.,Residential,10.0 perches,
9,Land with 3 Shops for Sale in Nittambuwa,21 Jul  9:56 am,"Nittambuwa, Gampaha","29,000,000",නිට්ටඹුව - අත්තනගල්ල ප්‍රධාන මාර්ගයට මුහුණලා පර්චස් 24 ක ඉඩම සමඟ වර්ග අඩි 1680 කින් යුතු කඩ කාමර තුනක් විකිණීමට.නිට්ටඹුව නගරයට 800mයි. වතුපිටිවල රෝහලට 1kmයි.පොල් ගස් කොස් ගසක් ආදියෙන් ඉඩම සමන්විත වේ.ව්‍යාපාරික ස්ථානයකට මෙන්ම පදිංචියට ද ඉතාම සුදුසු පරිසරයකි. වැදගත් වටාපිටාවක් ඇත.කඩ කාමර තුන අංගසම්පූර්ණය.ජලය විදුලිය වැසිකිළි පහසුකම් වෙන් වෙන් වශයෙන් ඇත.(තට්ටු දෙකක් සදහා අත්තිවාරම් දමා ඇත).පැමිණ බලා මිල ගණන් සාකච්ඡා කර ගත හැක.,"Attanagalla road,nittambuwa","Commercial, Residential",24.0 perches
10,Close to Kandy road lands - Nittambuwa,18 Jul  1:40 pm,"Nittambuwa, Gampaha","275,000","Kolomba / Nuwara pradana bus parata muhunala.Siyalu pahasukam samagin wadagath parisarayaka padinchiya wenuwen.Adama amathanna.Wen kireema sadaha = 100,000/-Muulika geweema = 20%Ithiriya masa 12 k dakwa poli rahithawa ho pahasu geweeme kramayata.","Kandy rd, Nittabuwa.","Commercial, Residential",6.0 perches
11,Land for Sale in - Kalagedihena,18 Jul 12:12 pm,"Nittambuwa, Gampaha","3,000,000","Land for Sale in Kalagedihena, Kiththammahara Godalla Road. 1.5KM to the Kandy Road.8.75 perches landPRICE Rs 3,000,000 (3 Million) (price slightly negotiable)","Kalagedihena, Kiththammahara Godalla Road",Residential,8.75 perches
12,"Land for Sale at Ruwanwella Road, Nittambuwa",18 Jul 10:04 am,"Nittambuwa, Gampaha","3,500,000","3 Acre land facing B 445 Nittambuwa, Ruwanwella main road for sale. 1 ½ hour drive from Colombo. Easy access to the land with good carpeted wide road.",Ruwanwella main,"Commercial, Residential, Other",3.0 acres
13,පස්යාල දංවල පාරේ ඉඩම්,21 Jul  2:33 pm,"Nittambuwa, Gampaha","170,000","කොළඹ නුවර මාර්ගයේ පස්යාල දංවල පාරේ නුවර පාරට 200m පර්චස් 14 හා,13.2 ඉඩම් කැබලි දෙක විදුලිය සහ ජල පහසුකම් සහිතයි මුදල් හදිස්සියක් නිසා ඉතා ඉක්මනින් විකිණීමට ඇත",Residential,27.2 perches,
14,Land In Nittambuwa,16 Jul 10:20 am,"Nittambuwa, Gampaha","900,000","Nittambuwa Veyangoda  LandJust2km from the land700m from the bus rout1km from the  nittambuwa veyangoda main roadPer perch 90,000/-10 perch blocksFacilities Available•	 Electricity•	 Pipe-borne Water•	 Drain System•	 Three Phase Electricity•	  WaterPay Rs.100,000/- and reserve a block.Settle the total amount in cash within 7 days to receive the 5% Platinum Discount on the full sale valueConsider a NSB loan through our company at Banks interest rate for 5,10,15 & 20 yrs, This facility is available to those who are permanently employed.7 year Easy payment option",Nittambuwa Veyangoda Road,Residential,10.0 perches
15,Commercial Property for Sale - Nittambuwa,15 Jul  1:14 pm,"Nittambuwa, Gampaha","215,000","land and paddy area facing to Colombo Kandy main road, near Licyum international school (20 kanuwa ,Kalagedihena) suitable for commercial purpose, clear deed, immediate sale","facing Colombo Kandy main road, near Licyum international school Kalagedihena (20kanuwa)",Commercial,22.0 perches
16,පස්යාල බටලීය හන්දිය,14 Jul  2:44 pm,"Nittambuwa, Gampaha","4,590,000","කොළඹ නුවර ප්‍රධාන මාර්ගයේ බටලීය හන්දියට ආසන්නව ,100 m කාමර 3 කුඩා නිවසක් ඇතළිං ජලය, විදුලිය සහිතයි",Residential,27.0 perches,
17,අගනා රබර් ඉඩමක් - නිට්ටඹුව,14 Jul  3:12 pm,"Nittambuwa, Gampaha","1,700,000","නිට්ටඹුව, ඌරාපොල, නිකහැටිකන්ද අක්කර 12 රෑඩ් 2 ක රබර් ඉඩම විකිනීමට. නිරවුල් ඔප්පු, ⁣මෑතකදී සකසන ලද පිඹුර.ඉඩමේ ජලය ඇත.නිස්කලංක පරිසරය.රබර් වගාව හෝ තේ වගාව සඳහා, පානීය ජල ව්‍යාපෘතියක්, භාවනා අසපුවක්, සංචාරක නවාතැන් පලක් සඳහා යෝග්‍යයි.",Nikahetikanda,"Agricultural, Commercial, Residential",12.2 acres
18,Close to Kandy Road Lands,13 Jul  2:05 pm,"Nittambuwa, Gampaha","275,000","Facing Colombo / Kandy main road.High residential aria with many facilities.Few valuable land plots are available.Hurry up & Reserve your place.Reservation = 100,000/-Down payment = 20%Balance can pay 12 month interest free / Bank loan or prime finance loan.","Kandy rd, Nittabuwa.","Commercial, Residential",10.0 perches
