,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Mango Coconut Land for Sale in Gonnoruwa,16 Jul  4:54 pm,"Ambalantota, Hambantota","1,500,000",🛑හම්බන්තොට මත්තල -පාර සිට 500 m  දුරින් කෘෂිකර්මාන්තයට ඉතා සුදුසු කෙසෙල්' අඔ සහ පොල්  අැතුලු අඔ  වගාව  සමග  අක්කර 5 ක ඉඩම  කෘෂිකර්මාන්ත කටුයුතු සදහා විකිණීමට ඇත....🛑✔️ පාරට  මුහුණත පළල අඩි-300 .✔️පර්චස්- 800 ✔️හයිවේ පිවිසුමට -7 KM.✔️ ගුවන්තොටුපලට 15 KM✔️ ඉඩම වවා අැත✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ආවරණය කර ඇත.✔️ජල  සහ විදුලිය පහසුකම් .✔️ අඔ ගස් සදහා  කාලය 3 වසර ✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️අන්පොල්සු වරගයේ අඔ ගස් 150 පමන අැත 🔴🔴 අඔ ව්‍යප්‍රතිය සදහා අපේක්ශිත  මුලු වියදම -රැ -7.5 මිලියන /= හෝ ආසන්නව .🔴🔴🔴🔴 අඔ ව්‍යප්‍රතියේන් වසර 3ට පසු අාදායම -රැ-6 මිලියන /=හෝ ආසන්නව බලාපොරොත්තු වේ.🔴🔴,Hambanthota,"Agricultural, Commercial",5.0 acres
2,"['Mango Coconut Land for Sale in Gonnoruwa', '16 Jul  4:54 pm', 'Ambalantota, Hambantota', '1,500,000', ""🛑හම්බන්තොට මත්තල -පාර සිට 500 m  දුරින් කෘෂිකර්මාන්තයට ඉතා සුදුසු කෙසෙල්' අඔ සහ පොල්  අැතුලු අඔ  වගාව  සමග  අක්කර 5 ක ඉඩම  කෘෂිකර්මාන්ත කටුයුතු සදහා විකිණීමට ඇත....🛑✔️ පාරට  මුහුණත පළල අඩි-300 .✔️පර්චස්- 800 ✔️හයිවේ පිවිසුමට -7 KM.✔️ ගුවන්තොටුපලට 15 KM✔️ ඉඩම වවා අැත✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ආවරණය කර ඇත.✔️ජල  සහ විදුලිය පහසුකම් .✔️ අඔ ගස් සදහා  කාලය 3 වසර ✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️අන්පොල්සු වරගයේ අඔ ගස් 150 පමන අැත 🔴🔴 අඔ ව්\u200dයප්\u200dරතිය සදහා අපේක්ශිත  මුලු වියදම -රැ -7.5 මිලියන /= හෝ ආසන්නව .🔴🔴🔴🔴 අඔ ව්\u200dයප්\u200dරතියේන් වසර 3ට පසු අාදායම -රැ-6 මිලියන /=හෝ ආසන්නව බලාපොරොත්තු වේ.🔴🔴"", 'Hambanthota', 'Agricultural, Commercial', '5.0 acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Barawakumbuka,22 Jul  3:56 pm,"Ambalantota, Hambantota","120,000",ඇඹිලිපිටිය නෝනගම ප්‍රධාන මාර්ගයට මීටර් 50ක් දුරින් අධිවේගී මාර්ග පිවිසුමට නුදුරින් සියලු යටිතල පහසුකම් සහිත පර්චස් 270ක අගනා බිම් කොටසක් කඩිනමින් විකිණීමට ඇත.,Residential,270.0 perches,
4,Land for Sale - Ambalantota,22 Jul 12:45 pm,"Ambalantota, Hambantota","75,000",+ For Immediate sale+ Good Residential Property in Lunama+ Peaceful neighborhood+ Easy Access to Main Road+ Genuine buyers are welcomeWith in 15 minutes to AmbalantotaPlease call for more information,"50m to Main road, Lunama, Ambalantota",Residential,60.0 perches
5,Beach view land for sales Ambalanthota,21 Jul 10:48 pm,"Ambalantota, Hambantota","275,000",මාතර තිස්ස  පාර සිට -2 KM  දුරින්  පිහිටා  තිබෙන  පර්චස් 85 ක හතරැස් ඉඩම  වෙරළට මායිව පිහිටා අැත සුන්දර පරිසරයක  පිහිටි මෙම ඉඩම  විකිණීමට ඇත....🛑✔️ වෙරළත මුහුණත පළල අඩි-80.✔️පර්චස්-85✔️අම්බලන්තොට ට -4 KM.✔️වරායට 5 KM✔️හතරැස් ඉඩමකි✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ගසා  ආවරණය කර ඇත.✔️ අඩි 25 පලලින් යුතුය  මාර්ග පහසුකම් .✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️ඕනෑම ව්‍යාපාරයක් සදහා සුදුසුයි.,Ambalantota,Commercial,85.0 perches
6,Eco Land for Sale - Ambalanthota,21 Jul 12:11 pm,"Ambalantota, Hambantota","120,000",මාතර ;තිස්ස - පාරට ම්ටර්  50   පමන  දුරින්  පර්චස් 110 ක හතරැස් ඉඩම  සංචාරක හෝ හොටෙල් ව්‍යාපාරයකට විකිණීමට ඇත....🛑✔️මුහුණත පළල අඩි-89.✔️පර්චස්-120.✔️අම්බලන්තොට -1.5 KM.✔️වරායට -4 KM✔️හයිවේ පිවිසුමට 5 KM✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ගසා ආවරණය කර ඇත.✔️අවට දර්සනීය කුඔුරැ යායකි.✔️මුහුදු වෙරලට 2 KM,Ambalantota,Agricultural,120.0 perches
7,Mango Coconut Land for Sale in Gonnoruwa,16 Jul  4:54 pm,"Ambalantota, Hambantota","1,500,000",🛑හම්බන්තොට මත්තල -පාර සිට 500 m  දුරින් කෘෂිකර්මාන්තයට ඉතා සුදුසු කෙසෙල්' අඔ සහ පොල්  අැතුලු අඔ  වගාව  සමග  අක්කර 5 ක ඉඩම  කෘෂිකර්මාන්ත කටුයුතු සදහා විකිණීමට ඇත....🛑✔️ පාරට  මුහුණත පළල අඩි-300 .✔️පර්චස්- 800 ✔️හයිවේ පිවිසුමට -7 KM.✔️ ගුවන්තොටුපලට 15 KM✔️ ඉඩම වවා අැත✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ආවරණය කර ඇත.✔️ජල  සහ විදුලිය පහසුකම් .✔️ අඔ ගස් සදහා  කාලය 3 වසර ✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️අන්පොල්සු වරගයේ අඔ ගස් 150 පමන අැත 🔴🔴 අඔ ව්‍යප්‍රතිය සදහා අපේක්ශිත  මුලු වියදම -රැ -7.5 මිලියන /= හෝ ආසන්නව .🔴🔴🔴🔴 අඔ ව්‍යප්‍රතියේන් වසර 3ට පසු අාදායම -රැ-6 මිලියන /=හෝ ආසන්නව බලාපොරොත්තු වේ.🔴🔴,Hambanthota,"Agricultural, Commercial",5.0 acres
8,Eco Land for Sale - Ambalanthota,14 Jul  9:47 pm,"Ambalantota, Hambantota","75,000",🛑අම්බලන්තොට  - බැරගම  -පාරට  මුහුනලා  තිබෙන මෙම කෘෂිකර්මාන්තයට ඉතා සුදුසු  නිසල පරිසරයක  පිහිටි  පදිංචියට සුදුසු ඔනෑම හොටෙල් ව්‍යාප්‍රතියකට ඉතා සුදුසු  මෙම  ඉඩම විකිණීමට ඇත....🛑✔️ කුඔුරට  මුහුණත පළල අඩි1500 .✔️පර්චස්- 160 ✔️හයිවේ පිවිසුමට -7 KM.✔️ ගුවන්තොටුපලට 23 KM✔️වැවකට සහ  කුඔුරට මුහුන ලා ✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ගසා  ආවරණය කර ඇත.✔️ජල  විදුලි  පහසුකම් .✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️.ව්‍යප්‍රතිය් ස්භාවය   commercial  ,Ambalantota,"Agricultural, Commercial, Residential",160.0 perches
9,Land for sale in Ambalantota,15 Jul 11:25 am,"Ambalantota, Hambantota","16,000","පිරිසිදු ඔප්පු.ජල විදුලි පහසුකම්.ඉඩම පිටුපසින් ඇළ මාර්ගය.කොළඹ,කතරගම ප්‍රදාන මර්ගයට 900 m.","පින්ගම,අම්බලන්තොට","Agricultural, Commercial, Residential, Other",410.0 perches
