,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale - Tissamaharama,23 Jul  9:29 am,"Tissamaharama, Hambantota","65,000",Land For Sale In Tissamaharama==========================,Residential,143.0 perches,
2,"['Land for Sale - Tissamaharama', '23 Jul  9:29 am', 'Tissamaharama, Hambantota', '65,000', 'Land For Sale In Tissamaharama==========================', 'Residential', '143.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,වීරකැටිය වටිනා ඉඩම වහාම විකිණීමට,22 Jul 10:44 am,"Tangalla, Hambantota","110,000",වීරකැටිය නගරයට  මීටර් 600 දුරින් රන්න ප්රධාන මාර්ගයට මීටර් 50ක් ඇතුලතින් ඇති ඉඩම ඉක්මනින්ම විකිණීමට තිබේ. නල ජලය තෙකලා විදුලිය හා මාර්ග පහසුකම් ඇත.,Residential,14.0 perches,
4,වලස්මුල්ල නගරයේම අගනා ඉඩමක් විකිනීමට, 2 Jul  3:00 pm,"Beliatta, Hambantota","680,000",වලස්මුල්ල නගරයේම බෙදා වෙන් කරන ලද ඉඩම විකිනීමට..සියලු පහසුකම් සහිතයි..ව්‍යාපාරික ගොඩනැගිල්ලක් ඉදිකිරීමට අගනා බිම් කොටසකි..17 perch 1 perch=680000,"මිද්දෙනිය පාර,වලස්මුල්ල",Commercial,17.0 perches
5,Commercial land for sales Maththala,23 Jul 10:22 pm,"Hambantota, Hambantota","1,500,000","Commercial Value Land in Maththla  Southern SL 50 acres bare land facing paddy aria  . 700 feet paddy  frontage. 2 km to airport , 4 km to Highway enter  , 23 km to port and highway enter  Hambanthota   . Land suitable for commercial operation including HOTEL ,RESIDENT solar project etc. Price expected 1.5 M per acres  but negotiable. Call for images and plan.Contact: viber  imo w/app",Hambanthota,Commercial,50.0 acres
6,Commercial Land for Sale - Hambanthota,23 Jul 10:04 pm,"Hambantota, Hambantota","950,000",🛑හම්බන්තොට -මත්තල -පාර  හයිවේ පිව්සුම්  මාර්ගයේ  සිට 2 KM. පමන   දුරින් කෘෂිකර්මාන්තයට  හෝ සෝලා ව්‍යාප්‍රතියකට ඉතා  සුදුසු කෙසෙල් අඔ අැතුලු ඔනෑම වගාවන් වගා කර හැකි   අක්කර 45 ක ඉඩම  විකිණීමට ඇත....🛑✔️  මුහුණත පළල අඩි-500 .✔️පර්චස්- 8000  ✔️හයිවේ පිවිසුමට -2 KM.✔️ ගුවන්තොටුපලට 4 KM✔️කොළඔ ට ලගා වීම පැ 2.30✔️සම්පූර්ණයෙන් ඉඩම ආවරණය වන සේ වැට ආවරණය කර ඇත.✔️ජල පහසුකම් .✔️ අක්කර 1 ක මිල 950000✔️ ඕනෑම වාහනයක් ඇතුලු කල හැකිය .✔️.ව්‍යප්‍රතිය් ස්භාවය වගාව  Commercial land 🔴🔴🔴🔴අකකර 1ක් සදහා රජයේ තක්සේරුව-රැ-1500000/=🔴🔴🔥පිරිසිදු ඔප්පු හා බැoකු ණය සදහා අවශ්‍ය සියලු ලිපි ලේඛණ ඇත.🔥,Hambanthota,Commercial,50.0 acres
7,Commercial land for sales Hambanthota,23 Jul  9:50 pm,"Hambantota, Hambantota","900,000","Commercial Value Land in Hambanthota  Southern SL 50 acres bare land  facing Road  . 200 feet Road  frontage. 12  km to Hambanthoata town, 14 km to PORT, 12 km to Mattala airport and highway enter   . Land suitable for commercial operation including HOTEL ,solar project  etc. Price expected 900000 per acres   but negotiable. Call for images and plan.Contact: Viber   IMO W/PP",Hambanthota,Commercial,50.0 acres
8,Land for Sale Beliatta,23 Jul 10:06 am,"Beliatta, Hambantota","20,000,000","Land for Sale Beliatta,(Sitinamaluwa)..............................................................................................................................................හම්බන්තොට දිස්ත්‍රිකයේ බෙලිඅත්ත නගරයට,අධිවේගි මාර්ගයට,බෙලිඅත්ත දුම්රිය ස්ථානයට,රුහුණු විජයබා ජාතික පාසලට ආසන්නයේ බෙලිඅත්ත,තංගල්ල ප්‍රධාන පාරට මුහුණලා ඉතා සුන්දර පරිසරයක පිහිටි ව්‍යාපාරික ස්ථානයකට සහ පදිංචියට සුදුසු පර්චස් 40 ක ඉදිවෙමින් පවතින දෙමහල් ගොඩනෑගිල්ල සහිත ඉඩමක් වහාම විකිණිමට ඈත...................................................................................................................................................CALL MORE DETAILS","Sitinamaluwa,Beliatta","Commercial, Residential, Other",40.0 perches
9,Land for Sale - Tissamaharama,23 Jul  9:29 am,"Tissamaharama, Hambantota","65,000",Land For Sale In Tissamaharama==========================,Residential,143.0 perches,
10,Land for Sale in Ambalangoda,22 Jul  4:37 pm,"Beliatta, Hambantota","1,020,000",බෙලිඅත්ත නගරයට 1/2 km කිරින්ද බෙලිඅත්ත ප්‍රධාන පාරට මීටර් 50ක් පමණ දුරින් පර්චස් 12ක ඉඩමක් විකිණීමට තිබේ. ජල විදුලි පහසුකම් ඇත. පර් :1ක් 85000ක්,Residential,12.0 perches,
11,Land for Sale Beliatta,22 Jul  4:19 pm,"Beliatta, Hambantota","80,000",බෙලිඅත්ත නගරයට ආසන්නව අධ්වේගී මාර්ගයට පහසුවෙන් පිවිසීම සහ දුම්රිය පොලට 0.5 km දුරින් පර්චස් 35ක් විකිණීමට.,"Nihiluwa, Beliatta.",Commercial,35.0 perches
12,Land for Sale in Barawakumbuka,22 Jul  3:56 pm,"Ambalantota, Hambantota","120,000",ඇඹිලිපිටිය නෝනගම ප්‍රධාන මාර්ගයට මීටර් 50ක් දුරින් අධිවේගී මාර්ග පිවිසුමට නුදුරින් සියලු යටිතල පහසුකම් සහිත පර්චස් 270ක අගනා බිම් කොටසක් කඩිනමින් විකිණීමට ඇත.,Residential,270.0 perches,
13,Land For Sale in Tangalle,22 Jul  2:00 pm,"Tangalla, Hambantota","975,000",Land For Sale in Tangalle,Tangalle,"Commercial, Residential",1.0 acres
