,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,වීරකැටිය වටිනා ඉඩම වහාම විකිණීමට,22 Jul 10:44 am,"Tangalla, Hambantota","110,000",වීරකැටිය නගරයට  මීටර් 600 දුරින් රන්න ප්රධාන මාර්ගයට මීටර් 50ක් ඇතුලතින් ඇති ඉඩම ඉක්මනින්ම විකිණීමට තිබේ. නල ජලය තෙකලා විදුලිය හා මාර්ග පහසුකම් ඇත.,Residential,14.0 perches,
2,"['වීරකැටිය වටිනා ඉඩම වහාම විකිණීමට', '22 Jul 10:44 am', 'Tangalla, Hambantota', '110,000', 'වීරකැටිය නගරයට  මීටර් 600 දුරින් රන්න ප්රධාන මාර්ගයට මීටර් 50ක් ඇතුලතින් ඇති ඉඩම ඉක්මනින්ම විකිණීමට තිබේ. නල ජලය තෙකලා විදුලිය හා මාර්ග පහසුකම් ඇත.', 'Residential', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land For Sale in Tangalle,22 Jul  2:00 pm,"Tangalla, Hambantota","975,000",Land For Sale in Tangalle,Tangalle,"Commercial, Residential",1.0 acres
4,පර්චස් 15 ක් සමඟ ව්‍යාපාරික ස්ථානය විකිණ්මට - තංගල්ල,22 Jul  1:08 pm,"Tangalla, Hambantota","12,000,000","ගොයම්බොක්ක වෙරළට විනාඩියක දුර.තංගල්ල මාතර ප්‍රධාන පාරට මීටර් 100විදුලිය,නල ජලය,දුරකථන පහසුකම් සහිතයි.පිරිසිදු ලියකියවිලි,අනන්තරා හෝටලය සහ ෆාම් පැරඩයිස් හෝටලයට මායිම් වූ  සංචාරකයින් සඳහා නේවාසික පහසුකම් ලබාදෙනු ලබන කබානා 3 කින් සමන්විතඅඩි 12 ක් පළල වෙරළ පිවිසුම් මාර්ගයට මුහුනලා ඇතිපර්චස් 15 ක පමණ ඉඩම.","Goyambokka,Tangalle",Commercial,15.0 perches
5,වීරකැටිය වටිනා ඉඩම වහාම විකිණීමට,22 Jul 10:44 am,"Tangalla, Hambantota","110,000",වීරකැටිය නගරයට  මීටර් 600 දුරින් රන්න ප්රධාන මාර්ගයට මීටර් 50ක් ඇතුලතින් ඇති ඉඩම ඉක්මනින්ම විකිණීමට තිබේ. නල ජලය තෙකලා විදුලිය හා මාර්ග පහසුකම් ඇත.,Residential,14.0 perches,
6,Lagoon View Land for Sales - Tangalla,20 Jul  9:22 am,"Tangalla, Hambantota","4,000,000","Commercial Value Land in kahadamoder  Southern SL 1 acres bare land with  facing lagoon    . 200 feet lagoon   frontage. 10 km to Ranna town, 4 km to beach , 15 km to  tangool  highway enter   . Land suitable for commercial operation including HOTEL ,RESIDENT ,CABANAS  etc. Price expected 4.M  but negotiable. Call for images and plan.",Kahadamoder,Commercial,160.0 perches
7,Land For Sale in Tangalla,18 Jul  4:41 pm,"Tangalla, Hambantota","3,500,000",Land For Sale In Tangalla(Sitina Maluwa)170m away from Tangalla - Beliaththa main roadNear Tangalla Ruhunu Wijeyabha School2.5km to Tangalla Junction,Residential,14.0 perches,
8,Land for Sale at Kahandamodara ( Hambanthota),18 Jul  3:48 pm,"Tangalla, Hambantota","2,500,000","Two and Half acres land for sale. Scenic,calm and quite.facing Kahanadamodara lagoon. Two hour drive from colombo.  2.5 Million per acres. Ideal for tourism or Agriculture. urgent sale.",Agricultural,2.5 acres,
9,Land in Ranna,15 Jul 12:42 pm,"Tangalla, Hambantota","300,000","පර්චසය රුපියල් 300,000/- සිට පහසුකම්_-ජලය - - විදුලිය - - පුළුල් පිවිසුම් මාර්ග - - පදිංචියට වඩාත් සුදුසු නිස්කලංක පරිසරය - - පිරිසිදු ඔප්පු -වැඩි විස්තර සඳහා අමතන්න. Can take 10 perches as well රන්න පන්සල් හන්දිය අසල","Commercial, Residential",70.0 perches,
