,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in - Point Pedro, 2 Jul  3:22 pm,"Jaffna, Jaffna","150,000","65 perches (6.5 parappu) of land, 20 m from Pointpedro- Jaffna road available for sale. clear deed with surveyed plan available. Boundaries are clearly marked. Viber or Watsapp or contact directly above mentioned number. ",Pointpedro- Jaffna road,"Agricultural, Commercial, Residential",65.0 perches
2,"['Land for Sale in - Point Pedro', ' 2 Jul  3:22 pm', 'Jaffna, Jaffna', '150,000', '65 perches (6.5 parappu) of land, 20 m from Pointpedro- Jaffna road available for sale. clear deed with surveyed plan available. Boundaries are clearly marked. Viber or Watsapp or contact directly above mentioned number. ', 'Pointpedro- Jaffna road', 'Agricultural, Commercial, Residential', '65.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for sale - Jaffna,23 Jul  7:15 pm,"Jaffna, Jaffna","350,000",30 perches ( 3 parappu ) square land in Urumpirai for sale. About 200 meters from Palali road ( opposite to Urumpirai filling station ). Clear deeds. Permanent 4 side cement wall with 2 gates. No brokers. Perch  Rs 350 000/=,"Agricultural, Commercial, Residential",30.0 perches,
4,Land for Sale Jaffna,21 Jul  9:51 am,"Jaffna, Jaffna","3,200,000",கல்லூரி வீதி கொக்குவில்கொக்குவில் இந்துக் கல்லுரிக்கு அண்மையாக ஒரு பரப்பு காணிகே கே எஸ் றோட்டில் இருந்து 200mதுரத்தில்,Residential,10.0 perches,
5,Land for Sale in Jaffna,18 Jul  2:57 pm,"Jaffna, Jaffna","6,200,000",ஸ்ரேசன் வீதி கோண்டாவில் கோண்டாவில் சந்தியில் இருந்து 300mதுரத்தில் ஓன்றே முக்கால் பரப்புகோண்டாவில் சந்திக்கும் அரசடிபிள்ளையார் கோயிலுக்கும் இடையில்,Residential,15.0 perches,
6,Coconut Land in Jaffna City Limits,17 Jul 10:35 am,"Nallur, Jaffna","45,000,000",Coconut land in jaffna city limits for sale. Clear title. 2km from nalur town. Expected price 45Million,"Agricultural, Commercial",2.5 acres,
7,Land for sale - Jaffna,20 Jul  1:51 pm,"Jaffna, Jaffna","3,500",Navalli vairavar kovilukku munpaka 10 Vajal prappu kani for sale can use for agriculture .,Agricultural,100.0 perches,
8,Land for sale Jaffna,15 Jul  3:56 pm,"Jaffna, Jaffna","5,200,000",பலாலி வீதி உரும்பிராய் இந்து கல்லுரிக்கு அண்மையாக பிரதான வீதியில் இருந்து 200mதுரத்தில்இரண்டு வீடு கட்ட கூடிய காணிதெளிவான உறுதி காணி மூன்று பரப்பு,Residential,30.0 perches,
9,Land For Sale Jaffna,18 Jul  4:05 am,"Jaffna, Jaffna","8,500,000","Permanent four side fence with Gate.Tube well & CEB Current facilities are available. There're 6 Palmyra, 2 Mango, 2 Margosa & other 3 Jungle trees available. Its good for establish business premises, tourist lodges, bakery, Mills or Houses.","Navaly Road, Sangaraththai Junction, Vaddukoddai, Jaffna, SRILANKA.","Commercial, Residential",90.0 perches
10,Land for Sale - Jaffna,10 Jul 10:05 pm,"Jaffna, Jaffna","7,200,000",கே கே எஸ் வீதி நாச்சிமார் கோயில் அருகாமைஓன்று அரைப் பரப்புபிரதான வீதியில் இருந்து 300 mதுரத்தில்செல்வமாகால் திருமண மண்டபம் அண்மையாக,Residential,15.0 perches,
11,Land for Sale - Jaffna, 9 Jul  8:52 am,"Jaffna, Jaffna","10,500,000",கொக்குவில் கிழக்கு கருவப்புலம் வீதிஇரண்டு அரைப்பரப்புநான்கு பக்க மதில்நல்லூர் பிரதேச சபைமருத்துவ பீடம் அண்மையாக,Residential,25.0 perches,
12,Commercial Land For Sale In Jaffna, 8 Jul  8:04 pm,"Jaffna, Jaffna","1,900,000","This is a commercial land use for residential & agriculture purpose, totally 75 perches (7.5 Larcham ) widen road access for heavy vehicle to the land and well also there usable for agriculture purpose (good water) nearly 50m you can found the houses in the area .Situated Nearly 1 km from Kopay Manipay Main road in Kaithady. Price is negotiable.",Kaithady,"Commercial, Residential, Other",75.0 perches
13,Land for Sale - Jaffna, 8 Jul  6:46 pm,"Jaffna, Jaffna","8,000,000",உரும்பிராய் மருதனார்மட வீதி விவசாய பாடசாலை க்கு அண்மையாக  வீதியே முகப்பாக  கொண்ட காணி  நான்கு பரப்பு,"Commercial, Residential",40.0 perches,
