,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,14p Land for Sale in Ingiriya,24 Jul 11:04 am,"Ingiriya, Kalutara","150,000",land in ingiriya town ( 800m )clear deedaproved planbank loan & easy payment facilities,ingiriya,Residential,14.0 perches
2,"['14p Land for Sale in Ingiriya', '24 Jul 11:04 am', 'Ingiriya, Kalutara', '150,000', 'land in ingiriya town ( 800m )clear deedaproved planbank loan & easy payment facilities', 'ingiriya', 'Residential', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,ඉංගිරිය නගරයට ආසන්නයෙන් ඉඩමක්,24 Jul 10:55 am,"Ingiriya, Kalutara","1,087,500","ඉංගිරිය නගරයට ආසන්නව සියලු පහසුකම් සහිත දර්ශණීය පරිසරයක පිහිටා ඇති වටිනා බිම් කොටස් කිහිපයක් විකිණීමට...බැංකු ණය පහසුකම් ලබා ගත හැකිය.වසර 03ක් දක්වා ගෙවිමේ පහසුකම්පර්චසයක් 87,000/= වැඩි විස්තර සදහා අමතන්න",Ingiriya / Halwatura Rd,Residential,12.5 perches
4,Land in Ingiriya,23 Jul  2:45 pm,"Ingiriya, Kalutara","87,000",land in ingiriya - halwathuranear ingiriya - bulathsinghala bus road2km to panadhura - ratnapura main bus roadelecytricity,ingiriya,Residential,12.5 perches
5,Land in Ingiriya for Sale,23 Jul  1:08 pm,"Ingiriya, Kalutara","1,087,500","ඉංගිරිය නගරයට ආසන්නව සියලු පහසුකම් සහිත දර්ශණීය පරිසරයක පිහිටා ඇති වටිනා බිම් කොටස් කිහිපයක් විකිණීමට...බැංකු ණය පහසුකම් ලබා ගත හැකිය.වසර 03ක් දක්වා ගෙවිමේ පහසුකම්පර්චසයක් 87,000/= විස්තර සඳහා දැන්ම අමතන්න.",Ingiriya / Halwatura Rd,Residential,12.5 perches
6,ඉංගිරිය නගරයට ආසන්න ඉඩමක්,22 Jul 12:28 pm,"Ingiriya, Kalutara","87,000",සියලු නේවාසික පහසුකම් සහිත පදිංචියට සුදුසු බිම් කොටස් විකිණීමට...ඉංගිරිය නගරයට කි.මි 4යි.පිරිසිදු ඔප්පු පුළුල් මාර්ගබැංකු ණය පහසුකම්වසර 03ක ගෙවිමේ කාල සීමාවවිස්තර සඳහා අමතන්න,Ingiriya / Halwatura Rd,Residential,12.5 perches
7,ඉංගිරිය නගරයට සමීපයෙන් වටිනා ඉඩමක්,22 Jul 11:06 am,"Ingiriya, Kalutara","150,000",ඉංගිරිය නගරයට ආසන්නව දර්ශණීය පරිසරයක් සහ විවිධ ගස් කොළන් සහිත පර්චස් 48.4ක ඉඩමක් විකිණීමට...ඕනෑම දෙයකට සුදුසු ඉඩමකි.පිරිසිදු ඔප්පු සහිතයි.විස්තර සඳහා අමතන්න,Ingiriya / Halwatura Rd,Residential,48.2 perches
8,Valuable Commercial Land for Sale - Ingiriya,20 Jul  4:08 pm,"Ingiriya, Kalutara","225,000","Located on Panadura - Ratnapura highway,200 feet road front,Ideal for Filling station, Service center or Factory,No flood or any other disaster affection,4 bedroom house in the middle of the land.","Madala Junction, Ellagawa.","Commercial, Residential",160.0 perches
9,ඉංගිරිය නගරයෙන්ම ඉඩම්,20 Jul  1:28 pm,"Ingiriya, Kalutara","150,000",ඉංගිරිය නගරයෙන්ම ඉඩම් කොටස් කීපයක් විකිණීමට  ඇතනිරවුල් ඔප්පු සහිතවඉංගිරිය නගරයටම මීටර් 800ක් වැනි දුරකි,ingiriya,Residential,14.0 perches
