,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Tea Land sale in Matugama,21 Jul  8:27 pm,"Matugama, Kalutara","9,500,000",Tea Land for sale in Mathugama* තවලම - පිටිගල ප්‍රධාන පාරට මුහුණලා* සුන්දර පරිසරයක පිහිටි* අක්කර 4 1/2 ක දැනට 2000 kg  පමණ අස්වැන්නක් ඇති* වයස අවු 5 පමණ තේ වගාව සහිත ඉඩම * අක්කර 1/2 ක කුරුදු වගා කර ඇත* කුඩා නිවසක් සමග විදුලිය හා ජලය ඇත* වගා කටයුතු සදහා යෝග්‍ය වේඉක්මනින් විකුණනු ලැබේ,Matugama,Agricultural,4.5 acres
2,"['Tea Land sale in Matugama', '21 Jul  8:27 pm', 'Matugama, Kalutara', '9,500,000', 'Tea Land for sale in Mathugama* තවලම - පිටිගල ප්\u200dරධාන පාරට මුහුණලා* සුන්දර පරිසරයක පිහිටි* අක්කර 4 1/2 ක දැනට 2000 kg  පමණ අස්වැන්නක් ඇති* වයස අවු 5 පමණ තේ වගාව සහිත ඉඩම * අක්කර 1/2 ක කුරුදු වගා කර ඇත* කුඩා නිවසක් සමග විදුලිය හා ජලය ඇත* වගා කටයුතු සදහා යෝග්\u200dය වේඉක්මනින් විකුණනු ලැබේ', 'Matugama', 'Agricultural', '4.5 acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land and House Bellana,21 Jul  7:58 pm,"Matugama, Kalutara","80,000",බෙල්ලන අගලවත්ත ප්‍රධාන පාරට මීටර් 150 ක් දුරින් පිහිටි අඩක් නිමකල නිවස සමග පර්චස් 15 ක ඉඩමක්ද තවත් පර්චස් 31 ක වෙනම ඉඩම් කොටසක්ද (තේ දමා ඇත)ඉතා ඉක්මනින් විකිනේ,"Diyannagoda ,Bellana","Agricultural, Residential",46.0 perches
4,Land for Sale - Matugama,21 Jul  2:10 pm,"Matugama, Kalutara","200,000","This land is available 10 min drive away from Matugama town. Close to Matugama Agalawatte main road.Suitable for an Agricultural plantation, building a holiday resort, factory or stores.Available with a serene environment with the Roads and Electricity facilities.","Agricultural, Commercial",255.0 perches,
5,Land for Sale in Matugama,18 Jul 11:01 am,"Matugama, Kalutara","117,500",සීඝ්‍රයෙන් සංවර්ධනය වන උසස් නේවාසික පරිසරකසුපිරි බිම්කොටස් ව්‍යාපෘතියක් ඔබ දන්නම තැනකින්....___________සුහද උයන___________,"Sapugaswatta - Nehinna Rd,Matugama",Residential,12.0 perches
6,Land In Dodangoda,14 Jul  2:28 pm,"Matugama, Kalutara","900,000","Dodangoda Rendapola LandJust 3km from the Highway exit dodangoda100m from the bus rout1km from the horana mathugama main roadPer perch 90,000/-10 perch blocksFacilities Available•	 Electricity•	 Pipe-borne Water•	 Drain System•	 Three Phase Electricity•	  WaterPay Rs.100,000/- and reserve a block.Settle the total amount in cash within 7 days to receive the 5% Platinum Discount on the full sale valueConsider a NSB loan through our company at Banks interest rate for 5,10,15 & 20 yrs, This facility is available to those who are permanently employed.7 year Easy payment option",Dodangoda Mathugama Road,Residential,10.0 perches
7,Land for Sale - Matugama,13 Jul  2:51 pm,"Matugama, Kalutara","4,600,000",වැඩි විස්තර අමතා දැන ගන්න,"රෙස්වත්ත පාර,යටියන,අගලවත්ත",Residential,20.0 perches
8,Land from Mathugama-Near to Walipanna Highway,10 Jul  2:32 pm,"Matugama, Kalutara","8,500,000","A valuable land for sale in Watthawa,Mathugama.It is near to Walikatiya Mahanama Temple. This place is situated in 1Km far away from the Mathugama town.You can reach to Walipanna and Dodamgoda highway entrances within 15 minutes.0.5Acres is paddy field from the whole land.Clear deed.Drinking water,electricity are available.When you are interested about this land plz call after 7p.m.Owner:-","Residential, Other",2.5 acres,
9,Land Mathugama Bulathsinhala, 8 Jul  6:58 pm,"Matugama, Kalutara","5,400,000","# බුලත්සිංහල කලවැල්ලාව හරහා මතුගම ප්‍රධාන මාර්ගයේ ප්‍රධාන පාරට මුහුණලා ඇති අක්කර 3ක් ඉඩම විකිණීමට. # අක්කරයක් ලක්ෂ 18යි.# රබර් ගලවා ඇති මුඩු ඉඩමකි. # කුරුදු, තේ, පොල් වැනි භෝගයකට සුදුසු වන අතර ගල්වැට ඇත.#  ප්‍රධාන පාරට මුහුණලා ඇති බැවින් පර්චස් 100ක් පමණ කොටසක් මට්ටම් කොට ව්‍යාපාරික කටයුත්තකට යොදා ගත හැක.# වතුර ඉතා ලගින් ඇත. වතුර බැස්සIවීමට ද හැකියාව ඇත.  # අක්කරයක් ලක්ෂ 18",Bulathsinhala. Mathugama,"Agricultural, Commercial, Residential, Other",3.0 acres
10,ඉඩම සහ ගෙය විකිනීමට මතුගම, 7 Jul  2:51 pm,"Matugama, Kalutara","18,000,000","මතුගම කලුතර පාරේ, පාන්තිය පන්සල හන්දිය අසල නො: 267 ,  පර්චස් 22කින් යුක්ත ඉඩම සහ ගෙය විකිනීමට.විමසීම්","නො: 267 ,","Commercial, Residential",22.0 perches
11,Land for Sale in Dodangoda,17 Jul 12:50 pm,"Matugama, Kalutara","500,000",විදුලිය ජලය සියලු පහසුකම් සහිත කළුතර මතුගම පාරේ දොඩන්ගොඩ මිරිස්වත්ත හන්දියට 2KM පමණ පිහිටා ඇතිසින්නක්කර ඔප්පු සහිත ඉඩම විකිණීමට ඇත.බැංකු ණය පහසුකම් ලබා ගත හැකිය.මිල ගණන් සාකච්චා කල ගත හැකිය.වැඩි විස්තර සඳහා අමතන්න.,"මිරිස්වත්ත, අඹගහකුඹුර පාර","Agricultural, Commercial, Residential, Other",10.0 perches
12,Land for Sale in - Mahagama, 6 Jul  5:06 pm,"Matugama, Kalutara","45,000","වැවිලි බෝග වගාවන්ට හා පදින්චියට සුදුසු ඉඩම, හොරණ - මතුගම ප්‍රධාන මාර්ගයේ දෙල්පාවත්ත පාසැල ලග සිට 500m, ඉඩමට මුහුනලා යෝජිත කාපර්ට් මාර්ගය","නායදොල, මහගම","Agricultural, Residential",142.0 perches
13,Land with House Immediate Sale - Matugama,14 Jul  7:36 am,"Matugama, Kalutara","22,000,000","* The land is located @ Malabada Junction face to Kalutara -  Matugama Road* 50 perches in extent* 10 Minute drive to Matugama Town* 2 Kms to Southern Express Highway Entrance( Dodangoda ).* Complete House consist of 3 Bed Rooms, attached Bathroom , Dinning area, Kitchen and   outside toilet  With Water, Telephone, Electricity.Front Vacant area 12 Perches faced to main road, Ideal for Commercial Investment* House Covered 13 Perches* Balance 25 perches planted with tea and Coconut* Good residential area having following facilities  Filling Service Station , Playground, School etc, Close proximity to Matugama town*Having  fully complete legal documents who will be able to meet bank loans.*  Total Price 22 Mn.* Negotiable.",Malabada Junction,"Commercial, Residential, Other",50.0 perches
14,Land for Sale - Matugama, 4 Jul  2:21 pm,"Matugama, Kalutara","950,000",Land for sale near the horawala junction.........10 minits for mathugama town....... 600m for mathugama aluthgama main road......price can be nigotioate quick sale.......,Commercial,17.0 perches,
