,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land For Sale - Kalutara,21 Jul  8:36 am,"Wadduwa, Kalutara","1,600,000","10 perches.Walking distance to Kalutara Bandaragama Main road,500m to Moronthuduwa TownFoundation Done,Residential area with calm and quite Neighbourhood. Owner lives in Overseas",Moronthuduwa Haritha Uyana,Residential,10.0 perches
2,"['Land For Sale - Kalutara', '21 Jul  8:36 am', 'Wadduwa, Kalutara', '1,600,000', '10 perches.Walking distance to Kalutara Bandaragama Main road,500m to Moronthuduwa TownFoundation Done,Residential area with calm and quite Neighbourhood. Owner lives in Overseas', 'Moronthuduwa Haritha Uyana', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Wadduwa Beach front land - 3 acres,18 Jul  3:42 pm,"Wadduwa, Kalutara","402,500,000","Nearly 3 acres of beach front property available in Wadduwa. If a larger area is required, more adjoining properties can be acquired as there are neighbours willing to sell. The close proximity to Colombo makes it an attractive destination for any Beachfront development. ",Wadduwa Beach,Other,470.0 perches
4,20 Perches Land For Sale In Wadduwa,18 Jul  8:51 am,"Wadduwa, Kalutara","300,000","Clear DeedsFlat land with Coconut trees and two Kaluwara treesSurrounded by bounding wall150m to Wadduwa - Moronthuduwa main road, 1.5km to Galle road","Wadduwa, Melegama, Upasikarama Road",Residential,20.0 perches
5,Land for sale in Wadduwa,17 Jul 10:41 am,"Wadduwa, Kalutara","300,000",Land for Sale in Wadduwa=====================,Residential,10.0 perches,
6,Land for Sale in Moronthuduwa,13 Jul  1:34 pm,"Wadduwa, Kalutara","160,000","Located just 20 meters away from Kalutara-Bandaragama main road (Sri jayawardanapura highway) and only 3km away from Galle road. Land bordering a breath-taking paddy field and lush greenery surrounding the land. Moronthuduwa land gives you the convenience of peaceful living with all urban utilities just minutes away.The project comes equipped with the following facilities. •     3 phase electricity •     Pipe borne water •     Tarred wide road network •	 Concrete drains•	 Parapet walls •	 Bank loans •      Easy payment schemes   Blocks available from 10 perches and upwards   Price per perch: 215,000/= and upwards",Green nest- Moronthuduwa,Residential,10.0 perches
7,10 Perch Land in Waskaduwa,13 Jul  7:43 am,"Wadduwa, Kalutara","1,350,000",10 perch LAND in WASKADUWAFecing Bandaragama Main Road16 perch LAND Golle road Fecing24 Perch in Kalutara - Old Road 25 Perch in Kalutara - WaskaduwaLand Pots for Sale1.35 Million per PerchClear DeedsTo inspect the Land - Please inform 3 hours before,Waskaduwa Kalutara,"Commercial, Residential",10.0 perches
8,3 Acres Land for Sale in Wadduwa,11 Jul 12:12 pm,"Wadduwa, Kalutara","850,000","Nearly 3 acres of beach front property available in Wadduwa (473 perches). If a larger area is required, more adjoining properties can be acquired as there are neighbours willing to sell. The close proximity to Colombo makes it an attractive destination for any Beachfront development. ",Wadduwa Beach,Other,3.0 acres
9,Wadduwa Beach Front Land for Sale - CC535,12 Jul 10:12 am,"Wadduwa, Kalutara","1,200,000",#. Beach front Commercial land for sale in Wadduwa,Commercial,100.0 perches,
10,Wadduwa Beach Property for Sale, 8 Jul  7:28 am,"Wadduwa, Kalutara","200,000,000","wadduwa beach front land for sale$1,050,000Wadduwa",Commercial,430.0 perches,
11,12 Perch Clear Land for Sale in Moronthuduwa - Kawatayagoda Road,21 Jul  9:54 pm,"Wadduwa, Kalutara","1,800,000",150000Rs Per perch - 12 perch clear land for sale in kawatayagoda road - moronthuduwa. Land took from the land sale in 2018 july.,kawatayagoda road - moronthuduwa,"Residential, Other",12.0 perches
12,Watina Bimkotasak Wekineemata wadduwa,28 Jun  8:24 pm,"Wadduwa, Kalutara","2,750,000",Jalaya  widuliya sahitha thanithala pa 10ka idamak. Wadduwa molligodata wagema kalutara bandaragama paratath itha laga pubudu,wadduwa molligoda,Commercial,11.4 perches
13,"Land for Sale Mawala, Wadduwa",19 Jul  2:23 pm,"Wadduwa, Kalutara","95,000","වාද්දුව, මොරොන්තුඩුව පාරෙන් ගාලු පාරට ආසන්නයෙන් මනා ලෙස සංවර්ධිත පදිංචියට ඉතා සුදුසු නිස්කලංක පරිසරයක් සහිත වටිනා බිම් කොටස් විකිණීමට....","Mawala, Wadduwa, Kaluthara",Residential,10.0 perches
14,Land for Sale in Wadduwa,27 Jun  9:30 pm,"Wadduwa, Kalutara","325,000","All convenience with a landSquare land600m to galle road Electricity / Water Land phone line05 minutes to galle road 10 minutes to railway station 05 minutes to all super market & bankRs.325000/= (01 perches )Saranathissa mawatha, Pohaddaramulla,Wadduwa. Call for more details",Residential,20.0 perches,
15,9.65 Perch Land in Waskaduwa Kalutara,26 Jun  1:34 am,"Wadduwa, Kalutara","1,400,000","9.65 Perch Land in Waskaduwa Facing Main Road. One Perch is Rs. 1,400,000/-Total price  - Rs 13.5 MillionClear DeedsTo inspect the Land - Please inform 3 hours before",WASKADUWA Kalutara,"Commercial, Residential",9.65 perches
16,Land facing Galle Rd. (110ft. frontage) in Wadduwa,24 Jun  2:03 pm,"Wadduwa, Kalutara","1,350,000","A 42.5 perches land with facing Galle road with a 110ft frontage and a beautiful well maintained ancestral home in Wadduwa, Thalpitiya for sale.","Galle Rd., Thalpitiya, Wadduwa","Commercial, Residential",42.5 perches
17,BEACH FRONT LAND FOR SALE IN WADDUWA,23 Jul  9:24 am,"Wadduwa, Kalutara","700,000",374 perches of prime beach front land in Wadduwa – Thalpitiya,"Wadduwa, Thalpitiya","Agricultural, Commercial, Residential, Other",374.0 perches
18,Land For Sale In Wadduwa,20 Jun  1:46 pm,"Wadduwa, Kalutara","6,000,000",උසස් තත්වයෙන් යුත් වටිනා ඉඩමක් කඩිනම් විකිණීමට - වාද්දුවවාද්දුවෙහි නගර මද්‍ය යෙ හි පිහිටි ඉතා උසස් තත්වයෙන් යුත් වටිනා ඉඩමක් කඩිනම් විකිණීමට.,"pothupitiya, wadduw",Commercial,20.0 perches
19,Galle Road Facing Land For Sale,19 Jul  2:45 pm,"Wadduwa, Kalutara","525,000",Property details ,Wadduwa thalpitiya,"Commercial, Residential, Other",100.0 perches
20,Block Of Land With A House For Sale In Pothupitiya,27 Jun  4:32 am,"Wadduwa, Kalutara","430,000","A Block of Land with A House for Sale in Pothupitiya, Wadduwa.  the House Has Electricity, Telephone and Running Water.Location: Facing Galle Road and Next to Walukaramaya Temple.","Galle Road, Pothupitiya, Wadduwa.",Residential,64.6 perches
21,20.8 Perches Land For Sale In Pothupitiya,27 Jun  4:31 am,"Wadduwa, Kalutara","225,000",20.8 Perches residential land for sale in Pothupitiya. Location: 100m away from Galle Road towards inland.,"Walukarama Road, Pothupitiya, Wadduwa",Residential,20.8 perches
22,Land | Wadduwa For sale, 7 Jun 12:19 pm,"Wadduwa, Kalutara","3,000,000",# වාද්දුව පිරිවෙන පාරෙ# නිවසට හා කඩයක් සදහා අනුමතිය සහිත# windrose ඉඩමෙ ලොට් no 8# කොරොස්දුව පාරෙ# 100% පිරුසිදු ඔප්පු # ලක්ෂ 30# negotiable,"Pirivena rd, wadduwa","Commercial, Residential, Other",11.25 perches
23,Land for Sale in Wadduwa, 6 Jun  5:08 pm,"Wadduwa, Kalutara","700,000",Near wadduwa town 100m gall roadAll facilities Land,No:9 molligoda wadduwa,"Commercial, Residential",20.0 perches
24,12 P Land for Sale in - Wadduwa, 6 Jun  8:16 am,"Wadduwa, Kalutara","195,000",ගාලු පරෙ සිට කිලො මීටර් 1ක් හා වාද්දුව හන්දියේ සිට කිලො මීටර් 2ක් දුරින්. නිවසක් තෑනිමට සුදුසු පරිසරයක් සහිත පර්. 11.8ක ඉඩම පර්චසයක් ලක්ශ 1.95 ගනනේ විකිනිමට බලාපොරොත්තුවේ. තැරව්කරුවන් අනවශ්‍යයි .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .ඉඩම පරීක්ෂා කිරීමෙන් පසුව සාධාරණ ලෙස මිල වෙනසක් කිරීමට හැකියාව ඇත.,"Wijaya road, Wadduwa.",Residential,11.8 perches
25,"Land For Sale In Delduwa,Wadduwa",19 Jun  4:27 pm,"Wadduwa, Kalutara","150,000",More Details Reference No : L - 285,"Delduwa,Wadduwa",Residential,20.0 perches
