,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,15 P Land Atabage Gampola, 4 Jul  8:11 am,"Gampola, Kandy","210,000",# 15P # Perfect rectangular shape land # Concrete acces rd # Next to Wimaladharma National                           School # 2nd plots from Nuwara-Eliya           Gampola main rd# Clear deeds# 30mns drive to Kandy & 1&half hours       to Nuwara-Eliya town,Atabage Gampola,"Agricultural, Residential",15.0 perches
2,"['15 P Land Atabage Gampola', ' 4 Jul  8:11 am', 'Gampola, Kandy', '210,000', '# 15P # Perfect rectangular shape land # Concrete acces rd # Next to Wimaladharma National                           School # 2nd plots from Nuwara-Eliya           Gampola main rd# Clear deeds# 30mns drive to Kandy & 1&half hours       to Nuwara-Eliya town', 'Atabage Gampola', 'Agricultural, Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,"Land at Sinhapitiya, Gampola.",12 Jul  3:24 pm,"Gampola, Kandy","250,000","04 blocks of precious,terraced flat land that include 01 block of 16 perches, 02 Blocks of 18 perches and 01 block of 19 perches for sale in Gampola. Land located less than 250m to the Gampola - Mawanella mains and in very proximity to jinaraja boy's school. Land blocks are well demarcated with concrete poles. Inspection - Only on Saturday between 10.00 am - 01.00 pm. Aramaya Mawatha, Sinhapitiya, Gampola.","Aramaya Mawatha, Sinhapitiya,Gampola",Residential,73.0 perches
4,Land for Sale in - Gampola,24 Jul  8:48 am,"Gampola, Kandy","275,000",GAMPOLA KOTHMALE PRADA PARATA MUHUNALA  ANARGA  KOTAS KABALI 2  GAMPOLATA  3KM NUWARAELIYA PARATA 500M,"Commercial, Residential",16.5 perches,
5,ගම්පොල පර් 11.2ක ඉඩමක්,22 Jul 10:57 am,"Gampola, Kandy","225,000",ගම්පොල මීවලදෙනිය මනස්කාන්ත පරිසරයක පිහිටි පර් 11.2ක ඉඩමක් වහාම විකිනීමට තිබේ.විමසීම්:,Meewaladeniya,Residential,11.2 perches
6,Land for Sale - Gampola,19 Jul  5:43 pm,"Gampola, Kandy","5,600,000",7 Perches Land for Sale ON NUWARAELIYA ROAD18 FEET faced to the main roadResidential LandLand is faced to the NUWARAELIYA main road as shown in the photo attached3 KM to GAMPOLA TOWNSelling Price: Rs.8 Lakhs Per PerchCall for More Details,"DELPITIYA , ATABAGE",Residential,7.0 perches
7,Land for Sale in - Jayamalapura,21 Jul  1:29 pm,"Gampola, Kandy","275,000","This Land Is Very Near to Kandy - Nawalapitiya Road,1 Km from Gampola TownAll the Documents Are Clear.Good Please to Build a House.","6th Lane, Jayamalapura, Gampola.",Residential,10.0 perches
8,Dolluwa Land for Sale - L0651-A,19 Jul  7:53 am,"Gampola, Kandy","5,900,000",A unique opportunity to acquire a land known as colonial Velikanda Estate in a superb residential location between Peradeniya & Gampola on Doluwa road. This was previously well run tea estate but now have become a scattered tea land. This is a substantial land comprises 10 acres and easy access with fully carpeted road which runs through the heart of the land connecting to another little town.,Residential,10.0 perches,
9,Land In Gampola,16 Jul 11:03 am,"Gampola, Kandy","2,200,000",Hodama edamak gampola naranvitin. Uduwaawala paren. Carpet para. Light wathura edama laga atha. Gampolata 1km peradeniyata 12km.kandy 16km.Geyak sedimata ethamath sudusuii. Salli hadisiyak nisaa denne. Awith balaa ganan katha kara gatha haka.Per perch 210000,Gampola Naranvita,Residential,10.0 perches
10,Land and House for Sale Gampola,24 Jul  8:41 am,"Gampola, Kandy","5,300,000","Gampola town eke sita 1 km , unambuwa STF camp eka asala, aluthin idikarana lada niwasa, slab eka dama atha, 3 bed room , attach bathroom, sinnakkara.","Unambuwa, Gampola",Residential,13.0 perches
11,9 P Gampola -Nuwaraeliya Rd Facing Commercial Land,17 Jul  4:17 pm,"Gampola, Kandy","2,250,000",# 9p commercial land# 70 feet road frontage # Next to the Wimaladharma National School # 5mins drive to closet city Gampola# 1& 1/2 hours drive to Nuwara-Eliya # 30 mins drive to Kandy# Best place to invest your future buisiness,Atabage Gampola,"Commercial, Residential",9.0 perches
12,"Land at Sinhapitiya, Gampola.",12 Jul  3:24 pm,"Gampola, Kandy","250,000","04 blocks of precious,terraced flat land that include 01 block of 16 perches, 02 Blocks of 18 perches and 01 block of 19 perches for sale in Gampola. Land located less than 250m to the Gampola - Mawanella mains and in very proximity to jinaraja boy's school. Land blocks are well demarcated with concrete poles. Inspection - Only on Saturday between 10.00 am - 01.00 pm. Aramaya Mawatha, Sinhapitiya, Gampola.","Aramaya Mawatha, Sinhapitiya,Gampola",Residential,73.0 perches
13,Land for Sale in Gampola,10 Jul  8:59 am,"Gampola, Kandy","3,500,000",Gampola binvino hotel yabadava phiti idamak. Gepola kapa eta. nivasak sedimata sudusu. Kapt para. Pradesiya saba anumetiya sahita nivasa planakda eth. Sinnakkara oppu. Viduliya idamata labagena eta. Nala jalaya. Gampola nagarayata vinadi 5n,gampola,Residential,30.2 perches
