,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Katugastota,13 Jul 10:09 pm,"Katugastota, Kandy","175,000","මහනුවර නගරයට නුදුරුවකටුගස්තොට අඹතැන්නකටුගස්තොට නගරයට විනාඩි 5න් ළඟා විය හැක. (15) පර්චසයක් රු.175,000/= පිරිසිදු ඔප්පු නල ජලය, විදුලිය සහිතයි.සියලු පහසුකම්.ඉඩම පරීක්ෂාවෙන් පසු මිලගණන් සාකච්ඡා කරගත හැක.(ගැනුම්කරුවන් පමණක් අමතන්න.)- අඩි 12 - බැංකු ණය පහසුකම්වැඩි විස්තර සදහා අමතන්න","77, Molagodayawattha, Katugastota.",Residential,15.0 perches
2,"['Land for Sale - Katugastota', '13 Jul 10:09 pm', 'Katugastota, Kandy', '175,000', 'මහනුවර නගරයට නුදුරුවකටුගස්තොට අඹතැන්නකටුගස්තොට නගරයට විනාඩි 5න් ළඟා විය හැක. (15) පර්චසයක් රු.175,000/= පිරිසිදු ඔප්පු නල ජලය, විදුලිය සහිතයි.සියලු පහසුකම්.ඉඩම පරීක්ෂාවෙන් පසු මිලගණන් සාකච්ඡා කරගත හැක.(ගැනුම්කරුවන් පමණක් අමතන්න.)- අඩි 12 - බැංකු ණය පහසුකම්වැඩි විස්තර සදහා අමතන්න', '77, Molagodayawattha, Katugastota.', 'Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Polgolla,18 Jul  6:56 pm,"Katugastota, Kandy","365,000","සීග්‍රයෙන් මිළ ඉහළ යන මහනුවර නගරයට විනාඩි 20 ක දුරින් හොදම ආයෝජනයකට අවස්ථාවක්.මහනුවර-මඩවල ප්‍රධාන මාර්ගයේ පොල්ගොල්ල හන්දියට විනාඩි 2ක දුරින් පිහිටි තැනිතලා බිම් කඩකි.* Sussex  college and Colombo international පාසල් වලට ඇවිද යන දුරින්.* කටුගස්තොට නගරයට විනාඩි 8.* සියලු පහසුකම් සහිතයි.(ජල, විදුලිය)* මිළ ගණන් සාකච්ඡා කල හැක.",Residential,12.0 perches,
4,Land For immediate Sale Polgolla,23 Jul  6:00 pm,"Katugastota, Kandy","200,000",Land with old house for immediate sale,"Doragamuwa Road , Polgolla",Residential,69.0 perches
5,Land for sale in Gohagoda Katugastota,23 Jul  1:32 pm,"Katugastota, Kandy","350,000",මහනුවර කටුගස්තොට ගොහාගොඩ ජයන්ති පාරේ පර් 33 මනරම් දර්ශනීය පරිසරයකි.සියලු පහසුකම් සහිතයි. කාපට් මාර්ගය​ආපදා රහිත පිරිසිදු ඔප්පු.පර්චසය 350000. මිල සාකච්චා කල හැක​.අයිතිකරු විදේශගතවන බැවින් වහාම විකිනීමට​.,Residential,33.0 perches,
6,Land for Sale - Katugastota,21 Jul  8:58 am,"Katugastota, Kandy","425,000",Land Available for Sale Facing Kudugala Wattegama Carpet Road  & One Side Facing a Paddy Field.Distance to Katugastota 5kms.Council Approval Plans Available for 2 Seperate House Units of 1100 Sqft with Parapet Wall with All Architectural Drawings.,Residential,11.0 perches,
7,Land for sale in Katugasthota,19 Jul  4:11 pm,"Katugastota, Kandy","250,000",[ Land for sale in Katugasthota  ],katugasthota,Residential,11.0 perches
8,Land For Sale - Katugasthota,19 Jul  2:36 pm,"Katugastota, Kandy","700,000","[ Land for sale in Katugasthota , kandy ]",katugasthota town,"Commercial, Residential, Other",22.9 perches
9,Land for Sale Kandy Municipal Limit,19 Jul  1:22 pm,"Katugastota, Kandy","775,000","100m to Kurunegala Katugastota main road5 minutes to Kandy Town within 1-4km to country's leading schools (St. Anthony's College, Trinity College, Gateway College and etc.).Clear deeds10 feet wide road access Land extent - 60 perches Price Rs 775,000/- per perch (negotiable)An inspection could be arranged on prior appointment.Please call for more information.",kurunegala road,"Agricultural, Commercial, Residential, Other",60.0 perches
