,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Vijayapura Galaha Peradeniya,19 Jun 11:58 am,"Peradeniya, Kandy","175,000","“Vijayapura Galaha” is a premium land development presented to you by Vishwalands©. With close proximity to Kandy town and out suburbs such as Peradeniya and Gampola, This development is close enough to enjoy the benefits of city with access to all required amenities without losing its natural surroundings. ","Residential, Other",20.0 perches,
2,"['Vijayapura Galaha Peradeniya', '19 Jun 11:58 am', 'Peradeniya, Kandy', '175,000', '“Vijayapura Galaha” is a premium land development presented to you by Vishwalands©. With close proximity to Kandy town and out suburbs such as Peradeniya and Gampola, This development is close enough to enjoy the benefits of city with access to all required amenities without losing its natural surroundings. ', 'Residential, Other', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for sale in Peradeniya road,23 Jul  3:53 pm,"Peradeniya, Kandy","7,000,000","Kandy - Facing peradeniya main road, 19.8p land with old house, Close to Kandy Convent, suitable for Commercial or residential purpose. Asking price is Rs.7m per perch, Good Investment for your future, Don't miss the chance.",Peradeniya road Kandy,"Commercial, Residential",19.8 perches
4,Land for Sale at - Kiribath Kumbura,20 Jul  3:45 pm,"Peradeniya, Kandy","400,000","Only 1 Km from Kandy Colombo Main Road ,electricity ,water, and Many More Facilities.",Residential,11.0 perches,
5,42P Land For Sale - Peradeniya,19 Jul  3:52 pm,"Peradeniya, Kandy","300,000",මධ්‍යම අධිවේගී මාර්ගය හා කොළඹ - මහනුවර ප්‍රධාන මාර්ගය සම්බන්ධ කරමින් සංවර්ධනය කිරීමට යෝජිත  මුරුතලාව - අලදෙණිය ප්‍රධාන මාර්ගයට මුහුණලා පිහිටා ඇති පර්චස් 42ක ඉඩම විකිණීමට.,Close to Colombo - Kandy Main Road.,"Commercial, Residential, Other",42.0 perches
6,Land for sale in Gannoruwa,19 Jul  2:52 pm,"Peradeniya, Kandy","550,000",[ Land for sale in Gannoruwa  - Peradeniya ],Gannoruwa - muruthalawa road face,"Commercial, Residential, Other",22.0 perches
7,පේරාදෙණිය නගරයට ඉතා ආසන්නව අගනා ඉඩමක්,17 Jul  1:47 pm,"Peradeniya, Kandy","850,000","පේරාදෙණිය,ඊරියගම ප්‍රදේශයේ කොලඹ නුවර ප්‍රධාන මාර්ගයේ සිට මීටර් 80 ක් පමණ දුරින් පිහිටා ඇත.නගරබද වුවද ඉතාම නිස්කලංක ස්ථානයක පිහිටා ඇත.පේරාදෙණිය නගරයට මීටර් 250ක් පමණ.පේරාදෙණිය දුම්රිය ස්ථානයට,පේරාදෙණිය රෝහලට,පේරාදෙනිය උද්භිද ද්‍යානයට,විශ්ව විද්‍යාලයට ඉතාම ආසන්නව පිහිටා ඇත.සියලුම පහසුකම් සමගින්.(පිරිසිදු නිරවුල් ඔප්පු)මුදල් සාකච්චා කරගත හැක.","Eriyagama,Peradeniya",Residential,12.0 perches
8,Land for sale In Peradeniya,15 Jul  8:34 pm,"Peradeniya, Kandy","190,000",Land for sale In Peradeniya  **************************** Location : Mahakanda * Land type : Residential* Land size : 10 perch,Mahakanda,"Commercial, Residential, Other",10.0 perches
9,The Land in Doluwa - Lot 37,15 Jul 11:30 am,"Peradeniya, Kandy","1,490,000",•	නාගරික පරිසරයෙන් නිදහස්ව ජිවත් විමට  කැමති ඔබට මෙන්න කොමර්ෂල් රියැලිටි වෙතින් ඔබට කිලිණ කරණ පේරාදෙණිය දොළුව සියළු පහසුකම්වලින් සපිරි අතිශය අලංකාර බිමි කොටස් දැන් ඉඩදි•	කාපට් යෙදූ මාර්ග•	ජලය•	විදුලිය•	ඇවිදින මංතීරු•	බැංකු ණය•	පහසු ගෙවීමේ ක්රම වැනි බොහෝ පහසුම් රැසක් සමගින්,"Peradeniya, Doluwa",Residential,29.8 perches
10,"The Land in Doluwa , Lot 36",15 Jul 11:29 am,"Peradeniya, Kandy","1,000,000",•	නාගරික පරිසරයෙන් නිදහස්ව ජිවත් විමට  කැමති ඔබට මෙන්න කොමර්ෂල් රියැලිටි වෙතින් ඔබට කිලිණ කරණ පේරාදෙණිය දොළුව සියළු පහසුකම්වලින් සපිරි අතිශය අලංකාර බිමි කොටස් දැන් ඉඩදි•	කාපට් යෙදූ මාර්ග•	ජලය•	විදුලිය•	ඇවිදින මංතීරු•	බැංකු ණය•	පහසු ගෙවීමේ ක්රම වැනි බොහෝ පහසුම් රැසක් සමගින්,"Peradeniya, Doluwa",Residential,20.0 perches
