,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for sale in Pilimatalawa,30 May  2:08 pm,"Pilimatalawa, Kandy","450,000","AN INCREDIBLE OPPORTUNITY TO PURCHASE VALUABLEBLOCK OF A LAND TO BUILD YOUR DREAM HOME(No. LAND SLIDE HAZARD )APPROVED BY NBRO1. Location : Kandy district From Pilimathalawa Town, on the Gadaladeniya /Paranapattiya   main Bus Road at (01 km post) 03 minutes to kandy Colombo Road.(Paranapattiya Road is   Developing and widening as carpeted 2 lane Road.) 2. Name of the Scheme / Residence : "" Asiri Gardens"". , One Land 2 separate    access, East Gate and West Gate.(Remaning only 07 blocks ).        A - East Gate 05 blocks from paranapattiya main road, Beautifully designed bit of        a elevated Tard main road, (100 meters) with curbs and drains. Via through border of a        spice garden.       B - West Gate 2 Blocks Via the "" Sandun Uyana"" Housing Scheme Road lead towards        Pilimathalawa Town.3. Extent of a Block - Each block 10 p +4. Will be sold out. Only for selected personals.(Preferably Professionals) 5. Special Privileges : East gate and west gate are the ends of Town limits and provided     with street lights, illuminate during nights by local Authorities.6. Surrounded and views : Very quite area, Excellent for living. No slums, shops and     sounds. Main land beautifully elevated up above the main roads naturally and a level     top. (Shape like a Bun) Hanthana , Hnnasgiriya, Nelligala and a range of Blue hills right     round at (360’)7. Legal states and facilities : Clear title and Deed. Electricity , pipe born water and Tard     roads , with curbs and drains. All necessary permits inclusive of C of C has been     obtained.A Fantastic investment if possible. You will never get this chance again. "" Seeing is Believing""Prices are vary from 4.5 million to 5.5 million per block of 10 perch as per the locality and the entryway.",Residential,10.0 perches,
2,"['Land for sale in Pilimatalawa', '30 May  2:08 pm', 'Pilimatalawa, Kandy', '450,000', 'AN INCREDIBLE OPPORTUNITY TO PURCHASE VALUABLEBLOCK OF A LAND TO BUILD YOUR DREAM HOME(No. LAND SLIDE HAZARD )APPROVED BY NBRO1. Location : Kandy district From Pilimathalawa Town, on the Gadaladeniya /Paranapattiya   main Bus Road at (01 km post) 03 minutes to kandy Colombo Road.(Paranapattiya Road is   Developing and widening as carpeted 2 lane Road.) 2. Name of the Scheme / Residence : "" Asiri Gardens"". , One Land 2 separate    access, East Gate and West Gate.(Remaning only 07 blocks ).        A - East Gate 05 blocks from paranapattiya main road, Beautifully designed bit of        a elevated Tard main road, (100 meters) with curbs and drains. Via through border of a        spice garden.       B - West Gate 2 Blocks Via the "" Sandun Uyana"" Housing Scheme Road lead towards        Pilimathalawa Town.3. Extent of a Block - Each block 10 p +4. Will be sold out. Only for selected personals.(Preferably Professionals) 5. Special Privileges : East gate and west gate are the ends of Town limits and provided     with street lights, illuminate during nights by local Authorities.6. Surrounded and views : Very quite area, Excellent for living. No slums, shops and     sounds. Main land beautifully elevated up above the main roads naturally and a level     top. (Shape like a Bun) Hanthana , Hnnasgiriya, Nelligala and a range of Blue hills right     round at (360’)7. Legal states and facilities : Clear title and Deed. Electricity , pipe born water and Tard     roads , with curbs and drains. All necessary permits inclusive of C of C has been     obtained.A Fantastic investment if possible. You will never get this chance again. "" Seeing is Believing""Prices are vary from 4.5 million to 5.5 million per block of 10 perch as per the locality and the entryway.', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Residential Land for Sale - Pilimathalawa,22 Jun  8:58 am,"Pilimatalawa, Kandy","6,100,000",20.5 Perches Land located in a Decent Respectable living area @ Pilimathalawa with all the basic facilities.10 minutes walk from Colombo kandy main Road/ Ralilway Station/ Supwer market.. 05 minutes drive to Pilimathalawa city and can reach to Kandy City within 20- 30 minutes.Having valuable grown up Jack and coconut trees also with Tea cultivation bringing Income Price .Rs.6.l Million,School Road Pilimathalawa,Residential,20.5 perches
4,Kandy - Pilimathalawa Embilmeegama Residential Land for sale,18 Jul  9:04 pm,"Pilimatalawa, Kandy","275,000",4 Plots remaining out of 5.Extents : 4 plots - 10 / 11 / 12.5 / 14 Residential LocationAll facilities on site20 ft  Road AccessAll approvals Bank loans can be arrangedEasy payment schemes available 25% Down payment and balance in 01 year(NO INTEREST) or can be extended upto 10 years with an interest of 15.5 P.A.RESERVATIONS NOW ON...CALL NOW TO RESERVE YOUR PLOT TODAY ...මහනුවර පිළිමතලාව - ඇඹ්ල්මීගම කොළඹ - නුවර මාර්ගයට මීටර් 800         නුදුරින් සංවර්ධනය කර විකුණනු ලබන ඉඩම..කැබලි 05 කි..සියලු පහසුකම් සහිතයි.සියලු අනුමැතීන් සමඟ...ණය පහසුකම් සහ පහසු ගෙවීමේ ක්‍රම යටතේ මිලදී ගත හැක.,"Heeressagala Road,Embilmeegama",Residential,10.0 perches
5,Land for Sale Pilimatalawa,23 Jul  2:04 pm,"Pilimatalawa, Kandy","1,000,000",Land for sale pilimathalawa,"Agricultural, Commercial, Residential, Other",40.0 perches,
6,Land with House Pilimathawa,19 Jul  4:38 pm,"Pilimatalawa, Kandy","100,000,000",VALUBAlE AND BUILDING IN PILIMATHALAWA. ,"247c,pilimathala gardern road, pilimathawa, same","Commercial, Residential",100.0 perches
7,Land for Sale - Pilimatalawa,15 Jul 12:08 pm,"Pilimatalawa, Kandy","175,000",27 purchase land 900m to colombo kandy road please contact the number for more details,kahatagoda,Residential,27.0 perches
8,Land for sale in Kandy - Pilimathalawa,12 Jul 11:18 am,"Pilimatalawa, Kandy","95,000","*********** Menikdiwela **************The Best time to invest your hard-earned money in a valuable land for a safe and secure tomorrow.Pilimathalawa Poththapitiya Main Road This land is Located in Pilimathalawa Poththapitiya main Road and the surrounding is way pictures and beautiful. * Silent & Serene Area * 38 exclusive flat blocks. (10 P - 20 P )* 20 minutes’ drive to Pilimathalawa town.* Minutes away from Schools, Super markets, Hospitals, Fuel Stations & Banks* Approved loan facilities available from leading banks.* 3 Phase Electricity* (Water Board) Water lines from Water Board* Tarred roads (20ft wide tarred roads)* Concreted drainage system* 95,000/- Per Perch","Pilimathalawa - Poththapitiya Rd,Menikdiwela",Residential,10.0 perches
9,Valuable Lands for Sale in Kandy - Pilimathalawa,12 Jul 11:12 am,"Pilimatalawa, Kandy","95,000",~~~ඉක්මන් කරන හැමෝම දිනුම්~~~ඔබගේ වටිනා ධනය ඉස්තරම් බිමක ආයෝජනයට කඳිම අවස්ථාවක්...සොඳුරු සෙංකඩගල පුරවරයේ සියළු වටිනාකම් සමඟින්පිබිදෙන ඉසව්වක වින්දනීය පරිසරයකින්දිනෙන් දින වටිනාකම් වැඩිවන උසස් නේවාසික පරිසරය....,"Pilimathalawa - Poththapitiya Rd,Menikdiwela",Residential,10.0 perches
