,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale in kithulgala,13 Jul 10:47 am,"Kitulgala, Kegalle","1,000,000","50 Acres Land with Tea, Rubber, Rambutan and Durian etc.,Nice mountain view and forest areaIdeal for who's looking Land for Nature/Adventure park and Holiday bungalowLocated at Kithulgala Gonagamuwa , 4km from Bibilioya junction to Hulankapolla JunctionGoogle map - 7.010268, 80.373066Total Price 50,000,000.00","Agricultural, Commercial, Other",50.0 acres,
2,"['Land for Sale in kithulgala', '13 Jul 10:47 am', 'Kitulgala, Kegalle', '1,000,000', ""50 Acres Land with Tea, Rubber, Rambutan and Durian etc.,Nice mountain view and forest areaIdeal for who's looking Land for Nature/Adventure park and Holiday bungalowLocated at Kithulgala Gonagamuwa , 4km from Bibilioya junction to Hulankapolla JunctionGoogle map - 7.010268, 80.373066Total Price 50,000,000.00"", 'Agricultural, Commercial, Other', '50.0 acres']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Kegalle,27 Jun  8:58 am,"Kegalle, Kegalle","590,000","# Value for your money.# Highly residential and walking distance to city limits.# Adjacent land to the St. Joseph Girl's College (Convent) Kegalle.# Very limited (Only two) land lots available.# Clear deeds and bank loans can be arranged.# Owned by a Doctor and an Engineer.# Call only who are really interested to buy.# Government valuation goes around 900,000/= per perch. # If someone buy two lots at once will have additional 1.55 perch free (allocated for Road)",Residential,10.0 perches,
4,Land for Sale in Mawanella,24 Jul 11:37 am,"Mawanella, Kegalle","950,000",~~~~~දුර දනික දුර බලන හැමෝටම~~~~~සීඝ්‍ර සංවර්ධනය හිමි දිනෙන් දින වටිනාකම් වැඩිවන සියල් සපිරි සුපිරි නේවාසික පරිසරය..___මාවනැල්ල නගරයෙන්___,"Danagama Rd,Mawanella",Residential,12.0 perches
5,Land for sale in Pahala Kadugannawa,23 Jul  5:33 pm,"Kegalle, Kegalle","35,000,000","පර්චස් 192 පලදාව සහිත කජු ගස් 150ක් පමණ​, සාදික්කා ගස් 100ක්, දෙමහල් නිවසක් සහිත කොලඹ නුවර මාර්ගයට යාබදව පහල කඩුගන්නාව ප්‍රදේශයේ පිහිටි ඉඩම​. නිරවුල් ඔප්පු. නාය යැම් නොවන බවට සහතික කල ලිපියක් ඇත​. නල ජලය විදුලිය ඇත​. මිල සාකච්චා කල හැක​.","Agricultural, Residential, Other",192.0 perches,
6,රඹුක්කන මිදුම ඉතාමත් අගනා ඉඩමක්,12 Jul 12:09 pm,"Rambukkana, Kegalle","85,000","රඹුක්කන මිදුම පාර  අගනා ඉඩමක් ,Brandix අගලුම් කම්හල  කි .මි 2 දුර ,රඹුක්කන නගරයට කි. මි 4,රඹුක්කන දූම්රිය සෙවාවන් කි .මි 4,ප්‍රධාන  මාර්ගයේ සිට විනඩි 1 දුර .මගි ප්‍රවාහන පහසුකම් .මනරම් කුබුරු යායක් ඉදිරිපිට .නිරඋල් හිමිකම් ඉඩමකි .","Agricultural, Residential",127.0 perches,
7,Land For Sale In Rambukkana,21 Jul  6:49 pm,"Rambukkana, Kegalle","120,000",පාරට මුහුනලා ඇති හතරැස් ඉඩමකි.පින්නවල ජාතික පාසලේ සිට 800m කි.නිරවුල් ඔප්පු සහිතය .අවට පර්චසයක් 130000ක් පමන වන අතර ඉක්මනින් විකුනා ගැනිමේ අවශ්‍යතාව මත පර් .120000 කට ලබාදේ ( කිසිදු මුදල් හදිසියකින් නොපෙලබේ)දිල්මානි ඇපරල් ගාමන්ට් එකට මුහුනලා ඇති ඉඩම වේ.,"pinnawala,medagodella rod,piris waththa,rambukkana",Residential,18.0 perches
8,Land Blocks Near the Kegalle City,20 Jul  8:06 pm,"Kegalle, Kegalle","195,000",Land Blocks Near The KEGALLE City Buruluppa/Hettimulla / Kegalle*************************************3 Km to kegalle town*************************************100 m to kegalle bulathkohupitiya road 200m to Kegalla Pradeshiya Sabawa *****************************************************************කෑගල්ල පුුාදේශිය සභාව අසල නිස්කලංක පරිසරයක පිහිටා ඇතකෑගල්ල නගරයට කි මී 3යි සියලුම පහසුකමි සහිතයි,kegalle /Hettimulla,Residential,26.0 perches
9,Kandy Road Facing Land for Sale,20 Jul  4:24 am,"Kitulgala, Kegalle","150,000",Land for sale kitulgala river facing 206 perches per perch price 150000 immediately sale please no brokers,kandy road kithulgala,"Commercial, Residential",206.0 perches
10,Land for Sale in - Warakapola,19 Jul 10:49 am,"Warakapola, Kegalle","240,000","වරකාපොල පිලාන්ඩුව ප්‍රදේශයේ කොලඹ-නුවර ප්‍රධාන පාරට මීටර් 500ක් දුරින් පර්චස් 135 ක සියලුම පහසුකම් සහිත ඉඩමක් ඇත.මෙම ස්ථානය වරකාපොල නගරය, බස් නැවැතුම්පොල, මහ රෝහල, රජය හා පෞද්ගලික පාසල්, බැංකු සහ පොල ආසන්නව පිහිටා ඇත.නිස්කලංක නිවාඩු නිකේතන,කර්මාන්ත ශාලාවක් හෝ නිවසක් සඳහා ඉතා රමනීය ඉඩමකි.නිරවුල් ඔප්පු සහිතයි. පර්චස් එකක් රැ:240,000/-කොටස් 1: පර්චස් 27 කොටස් 2: පර්චස් 27 කොටස් 3: පර්චස් 27 කොටස් 4: පර්චස් 27කොටස් 5: පර්චස් 27","Agricultural, Commercial, Residential, Other",135.0 perches,
