,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Narammala Land for Sale,23 Jul  9:54 am,"Narammala, Kurunegala","65,000","කුරුණෑගල නාරම්මල නගරයෙන් පර්චස් 15 බිම් කොටසක් විකිණීමට. කොටසක් ගෙවා ඉතිරිය පොලී රහිත  සහා මුලින් 10% ක් ගෙවා ඉතිරිය පහසු ගෙවීමේ ක්‍රමයට. මිල පර්චසයක් රුපියල් 65,000/",Residential,15.0 perches,
2,"['Narammala Land for Sale', '23 Jul  9:54 am', 'Narammala, Kurunegala', '65,000', 'කුරුණෑගල නාරම්මල නගරයෙන් පර්චස් 15 බිම් කොටසක් විකිණීමට. කොටසක් ගෙවා ඉතිරිය පොලී රහිත  සහා මුලින් 10% ක් ගෙවා ඉතිරිය පහසු ගෙවීමේ ක්\u200dරමයට. මිල පර්චසයක් රුපියල් 65,000/', 'Residential', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Kurunegala Weerabugedra land for sale,23 Jul  9:49 am,"Narammala, Kurunegala","57,500","කුරුණෑගල කොළඹ 05 බස් මාර්ගයට පහසුවෙන් ලගාවිය හැකි දුරින් පර්චස් 15 බිම් කොටස් කිහිපයක් විකිණීමට. කොටසක් ගෙවා ඉතිරිය පොලී රහිත සහා මුලින් 10% ක් ගෙවා ඉතිරිය පහසු ගෙවීමේ ක්‍රමයට. මිල පර්චසයක් රුපියල් 57,500/",Residential,15.0 perches,
4,House with Land for Sale in Kurunegala,15 Jul  4:49 pm,"Narammala, Kurunegala","5,500,000",ඉඩම සමග නිවසක් විකිණීමට ඇත - කුරුණෑගල =======================================,"Royal pond 1st lane metiyagane, kurunagala",Residential,15.0 perches
5,Land for sale in Narammala,12 Jul  3:07 pm,"Narammala, Kurunegala","925,000",01 Km to Kurunegala Narammala Road.(Kalugamuwa junction),Residential,15.0 perches,
6,පර්චස් 25 ක ඉඩම විකිණීමට - නාරම්මලින්,10 Jul 12:55 am,"Narammala, Kurunegala","130,000",පර්චස් 25 ක ඉඩම නාරම්මලින් මධ්‍යම අධිවේගී මාර්ගයේනාකලගමුව පිවිසුමට ආසන්නව(250m)අලව්ව නාරම්මල ප්‍රධාන මාර්ගයට මුහුණලා නිසංසල වෙල් යායකට යාබදවව්‍යාපාර හෝ පදිංචියට සුදුසු පිරිසිදු ඔප්පු සහිත ඉඩම විකිණීමට.,"Commercial, Residential",25.0 perches,
7,ඉඩමක් සහිත නිවසක් - නාරම්මල, 9 Jul  3:24 pm,"Narammala, Kurunegala","4,000,000","කොළඔ- නුවර ප්‍රධාන මාර්ගයේ මැටියගනය වැඩිහිටි නිවාසයට යන මාර්ගයේ මීටර 800ක් පමන දුරින් පිහිටා ඇති තැනිතලා හතරැස් ඉඩම,25.5P ඇත.නිවසක් ඇත(ඉදිකර වසර 12ක් පමන වන)-නිදනකාමර දෙකක්, සාලයක්,අංග සම්පූර්ණ කුස්සිය,දිනකට 10,000කට වැඩි ව්‍යාපාරික ආදායමක් ලැබියහැකි කඩකාමරයක්ලිං ජලය ලබාගත හැකි සංපූර්ණ කල ලිදක්,නල ජලය පහසුකම්ද ඇත,විදුලිය සහිතයි,ප්‍රධාන මාර්ගයට යාබදව පිහිටා ඇතසින්නක්කර නිරවුලු පිරිසිදු ඔප්පුනිස්කලංක,පදිංචියට සුදුසු,නිරවුල් පරිසරය.ලක්ෂ 40කට පමන නිකිනීමට බලාපොරොත්තු වේ.","උඩවෙල වැඩිහිටි නිවාස පාර,උඩවෙල,මැටියගනය,නාරම්මල","Agricultural, Commercial, Residential, Other",25.5 perches
8,Narammala Land for Sale, 8 Jul  3:55 pm,"Narammala, Kurunegala","65,000","කුරුණෑගල නාරම්මල නගරයෙන් පර්චස් 15 බිම් කොටසක් විකිණීමට. කොටසක් ගෙවා ඉතිරිය පොලී රහිත  සහා මුලින් 10% ක් ගෙවා ඉතිරිය පහසු ගෙවීමේ ක්‍රමයට. මිල පර්චසයක් රුපියල් 65,000/",Residential,15.0 perches,
9,Kurunegala Weerabugedra Land for Sale, 8 Jul  3:35 pm,"Narammala, Kurunegala","57,500","කුරුණෑගල කොළඹ 05 බස් මාර්ගයට පහසුවෙන් ලගාවිය හැකි දුරින් පර්චස් 15 බිම් කොටස් කිහිපයක් විකිණීමට. කොටසක් ගෙවා ඉතිරිය පොලී රහිත සහා මුලින් 10% ක් ගෙවා ඉතිරිය පහසු ගෙවීමේ ක්‍රමයට. මිල පර්චසයක් රුපියල් 57,500/",Residential,15.0 perches,
