,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land and House Dambulla,22 Jul 10:24 am,"Dambulla, Matale","500,000",කුරුනෑගල-දඹුල්ල ප්‍රධාන  මාර්ගයට මුහුනලා දඹුල්ල නගරයේ සිට 2.5km දුරින් දඹුලුඔය අසල hotel හෝ අනෙකුත් ව්‍යාපාරයක් සඳහා ඉතා සුදුසු ඉඩමකි,"542/2A, Kurunagala road ,pohoranwawa,dambulla",Residential,58.0 perches
2,"['Land and House Dambulla', '22 Jul 10:24 am', 'Dambulla, Matale', '500,000', 'කුරුනෑගල-දඹුල්ල ප්\u200dරධාන  මාර්ගයට මුහුනලා දඹුල්ල නගරයේ සිට 2.5km දුරින් දඹුලුඔය අසල hotel හෝ අනෙකුත් ව්\u200dයාපාරයක් සඳහා ඉතා සුදුසු ඉඩමකි', '542/2A, Kurunagala road ,pohoranwawa,dambulla', 'Residential', '58.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Dambulla, 8 Jul  1:12 pm,"Dambulla, Matale","45,000","අඩුම මුලික ගෙවිමකට ඉඩම් අපෙන්ම පමණයි.  දඹුල්ල නගරයට හා A9 මාර්ගයට සමිපව නල ජලය, විදුලිය සහිත දර්ශනිය බිම් කොටස් කිහිපයක්   පහසුවෙන්ම ගෙවීමේ  ක්‍රමයට ගෙවන්න ගන්න.  බැංකු ණය සහ සියලුම අනුමැතිය සහිතයි.","Dambulu oye , Dambulla","Commercial, Residential, Other",12.5 perches
4,Land for Sale in Dambulla,12 Jul  1:43 pm,"Dambulla, Matale","1,000,000",Land for Sale in Dambulla=================,"Agricultural, Commercial",40.0 perches,
5,Land and House Dambulla,22 Jul 10:24 am,"Dambulla, Matale","500,000",කුරුනෑගල-දඹුල්ල ප්‍රධාන  මාර්ගයට මුහුනලා දඹුල්ල නගරයේ සිට 2.5km දුරින් දඹුලුඔය අසල hotel හෝ අනෙකුත් ව්‍යාපාරයක් සඳහා ඉතා සුදුසු ඉඩමකි,"542/2A, Kurunagala road ,pohoranwawa,dambulla",Residential,58.0 perches
6,Land for Sale in - Inamaluwa,20 Jul 11:04 am,"Dambulla, Matale","7,500,000",Land sale at sigiriya junction inamaluwa . Very shoutable for tourism project . distance to trincomalee colombo highway just 20 meters .Clear deed. Carpet and interlock road. Electricity .. pipe water. Very close to all tourism areas. Already obtained loan facility in government bank. Valuation in 2013... 8 million ..,Commercial,48.5 perches,
7,Valuable Land for Sale Dambulla,22 Jul 12:52 pm,"Dambulla, Matale","12,500,000","දඹුල්ල මහ නගරසභා සීමාවතුල දඹුල්ල මාතලේ ප්‍රධාන මාර්ගයට මුහුණලාකපුවත්තේ පිහිටි අක්කරයක ඉඩම සහ කඩ කාමර 2 සමග නිවස, වර්ග අඩි 2000 ගබඩාවබැංකු ණය ලබාගත හැකියසින්නක්කර ඔප්පු","Kapuwatta, Dabulla","Commercial, Residential, Other",1.0 acres
8,"Land for Sale in Dambulla,kiralagolla",17 Jul  9:04 am,"Dambulla, Matale","2,000,000",land 2 Km away from A9 road.suitable for long term investment/agriculture purpose.situated in kiralagolla.8Km from Dambulla town.clear deeds,"Ambulambe,Kiralagolla","Agricultural, Commercial",169.0 perches
9,දඹුල්ල නගර සීමාවෙන්ම හොදම ඉඩමක්,23 Jul  1:27 pm,"Dambulla, Matale","1,275,000","👍දඹුල්ල - කන්ඩලම ප්‍රධාන මාර්ගයට 600m යි👍දඹුල්ල නගරයට විනාඩි 5ක දුර👍රන්ගිරි දඹුල්ල රජමහා විහාරයට, කන්ඩලම හන්දියට විනාඩි 3ක දුර 👍ජතික පාසලට, ආර්තික මද්‍යස්තානයට විනාඩි 4ක දුර👍කන්ඩලම වැවට විනඩි 10ක දුර👍කාපට් යෙදූ මාර්ගය ඉඩම අසලට👍විදුලිය, ජලය සහිත නිදහස් වටපිටාව👍නිරවුල්, සින්නක්කර ඔප්පු","අතුපාරයාය, දඹුල්ල","Commercial, Residential",15.0 perches
10,Land for Sale - Dambulla,13 Jul  1:04 pm,"Dambulla, Matale","68,000","දඹුල්ල නගරයට 4kmක් දුරින් මාතලේ පාරේ යාපාගම,T.B.තෙන්නකෝන් මාවතේ 200m දුරින් අක්කර කාලක් විකිණීමට තිබේතෙකලා විදුලිය නල ජලය සහිතය වගා ළිඳක් ඇත අඩි 12 පාර.වගා කිරීමට හෝ පදිංචියට සුදුසු වේ හිස් ඉඩමකි අවශ්‍යතාවය අනුව පර්චස් ප්‍රමාණය වැඩි කර ගත හැකිය.පර්චසය රු 68000.00","Agricultural, Commercial, Residential, Other",40.0 perches,
11,25 Perch Land In Dambulla City Center,12 Jul  3:28 am,"Dambulla, Matale","3,000,000",25 perch Land in Dambulla city Center,Dambulla City,Commercial,25.0 perches
12,Dambulla Main Road Face 10.5 Acres Land,12 Jul  1:42 am,"Dambulla, Matale","250,000,000","Colombo and Kandy to Polonnaruwa, Sigiriya, Trincomalee main road face 10.5 acres land for sale in Dambulla. Clear Deeds. Land front of main road above 100m. Surrounding are paddy field and Hotel, Restaurant, Boat service, Cart Safari etc. 500m to newly propose Colombo Dambulla highway Entrance. Very suitable for Grand Tourist hotel with Restaurant. Distributing Center, Container yard, Store with Showroom, Factory.",Dambulla town area,"Agricultural, Commercial, Residential",10.5 acres
13,Land for Sale in Galewela,23 Jul  9:00 am,"Dambulla, Matale","60,000",Facing Galewela - Matale main rd1.5 km to St' Antonie's church15 perch blocks,"Galewela, Matale rd",Residential,15.0 perches
14,Land for Sale - Dambulla, 8 Jul  1:12 pm,"Dambulla, Matale","45,000","අඩුම මුලික ගෙවිමකට ඉඩම් අපෙන්ම පමණයි.  දඹුල්ල නගරයට හා A9 මාර්ගයට සමිපව නල ජලය, විදුලිය සහිත දර්ශනිය බිම් කොටස් කිහිපයක්   පහසුවෙන්ම ගෙවීමේ  ක්‍රමයට ගෙවන්න ගන්න.  බැංකු ණය සහ සියලුම අනුමැතිය සහිතයි.","Dambulu oye , Dambulla","Commercial, Residential, Other",12.5 perches
15,Land for Sale - Dambulla, 6 Jul  6:57 pm,"Dambulla, Matale","50,000",Land For Sale ( Dambulla )ඉදිවෙමින් පවතින අධිවේගී මාර්ගය අසලින් සහ A9 මාර්ගයේ සිට 600m දුරින් වූ සියලු පහසුකම් සහිත දඹුල්ල නගරය පෙනෙන මානයේ පිහිටි පර්චස් 280 ඉඩම අදම ඔබේ කරගන්න.Close to Jetwing Lake Hotelකොටස් වශයෙන්ද ලබාගත හැක.,"Gomadiya Para, Kapuwattha, Dambulla","Agricultural, Commercial, Residential, Other",280.0 perches
16,Land in Dmbulla, 8 Jul 10:18 am,"Dambulla, Matale","45,000","දඹුල්ල නගරයට හා  ආ9 මාර්ගයට සමිපව පර් 15 ක සින්නක්කර ඔප්පු සහිත තැනිතලා බිම් කොටස් විකිණිමටනල ජලය,ලිං ජලය, විදුලිය සහ පුලුල් මාර්ග සහිතව දඹුල්ල නගරයට විනාඩි 10. ම්","No 53 , Anagarika Dharmapala Mw ,Kandy","Commercial, Residential, Other",15.0 perches
17,Land for sale in Dambulla,29 Jun  8:03 pm,"Dambulla, Matale","3,400,000",දඹුල්ල නගරයේ සින්නක්කර ඔප්පු සහිත පර්චස් 20ක අනර්ග ඉඩමක් .පදින්චියට හෝ සන්චාරක නිකේතනයකට වඩාත් සුදුසුයි.නගර මධ්‍යයේ පිහිටා ඇත.දඹුලු ගල මනරම්ව දිස්වේ.,Anuradapura road Dambulla,Residential,20.0 perches
18,Land for sale in Matale rd,23 Jul  9:00 am,"Dambulla, Matale","85,000",Facing Galewela - Matale main rd1.5 km to St' Antonie's church15 perch blocks,"Matale rd, Wahakotte",Residential,15.0 perches
19,දඹුල්ල නගර මධ‍්‍යයයේ පර්චස් 22.9 වටිනා ඉඩමක් විකිණීමට ඇත,24 Jun  8:00 pm,"Dambulla, Matale","260,000","මෙම ඉඩම දඹුල්ල වාණිජ කේඳ්‍රස්ථානයේ පිහිටා ඇති අතර  අවන්හලක්, හෝටලයක් හෝ වාහන නැවතූමි පලක් සඳහා වාඩාත් සුදුසු වේ.  ","Commercial, Residential",22.9 perches,
20,Land for Sale in Dambulla Kandalama Road, 8 Jul  9:42 am,"Dambulla, Matale","3,500,000","Land For sale in Dambulla Kandalama Road* 32 Perches * Ideal for both Residential & Commercial purposes (Hotel, Restaurant)* Clear Deed* Electricity and water available* 500m to Dambulla - Kandalama Main Road* 10 Minutes to Dambulla Town* Price can be negotiable after inspection","Commercial, Residential",32.0 perches,
21,Shopping Complex Dambulla,21 Jun 12:30 pm,"Dambulla, Matale","55,000,000",Spacious shopping complex to be sold into the middle of Dambulla town.,"No 63 , Kurunegala road, Dambulla",Commercial,10.0 perches
22,New Land For Sale in Dambulla, 8 Jul 10:18 am,"Dambulla, Matale","500,000","අපගේ නවතම ඉඩම් ව්‍යාපෘතිය දඹුල්ලෙන් සියලුම පහසුකම් සහිත රමණිය බිම් කොටස් මේ මස 22 සිට ඔබ සදහාම විවර වේබැංකු ණය , පහසු ගෙවීමේ ක්‍රම විශේෂ වට්ටම් සියල්ල සමගින් බිම් කොටසම ලක්‍ෂ 05 සිට","No 53, Anagarika Dharmapala Mw, Kandy","Agricultural, Commercial, Residential, Other",12.0 perches
23,Land for Sale in Dambulla,17 Jun  1:40 pm,"Dambulla, Matale","27,000,000","මහනුවර-දඹුල්ල  ප්‍රධාන මාර්ගයට ආසන්නයේ ,දඹුල්ල නගරයට 8  පන්නම්පිටියෙ මෙම ඉඩම පීහිටා ඇත .අක්කර 4.5 වන මෙම ඉඩම තෙක්ක වගාවකින් යුක්තවේ.","lendora,Pannampitiya,Dambulla","Agricultural, Commercial, Residential",4.5 acres
24,Land for Sale - Dambulla,14 Jun  3:16 pm,"Dambulla, Matale","1,200,000","Dambulla, thalakiriyagamaIkmanin denawa",Other,47.0 perches,
25,Teak Land for Sale - Kalundawa,12 Jun  1:00 pm,"Dambulla, Matale","1,200,000",Company maintained teak land.,"Dmbulla, Kalundawa.",Agricultural,40.0 perches
26,දඹුල්ල නගරය මැද ව්‍යාපාරයකට ඉතා සුදුසු 19P,11 Jun 10:15 pm,"Dambulla, Matale","425,000","ආයෝජනයකට හොඳම දඹුල්ල නගරය මැද පිහිටි හරි හතරැස් ඉඩම ආපනශාලා, බැංකු, හෝටල්, සුපිරි වෙළදසැල් යන සියලු නාගරික පහසුකම් ඇවිදින දුරින් රොක් ආච් (rock Arch ) හෝටලයට යාබද ඉඩම බැංකු ණය පහසුකම් ලබාගත හැක පිරිසිදු නිරවුල් ඔප්පු පර්චසයක් 425,000",Dambulla,Commercial,19.0 perches
