,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land For Sale - Weligama,20 Jul 11:40 am,"Weligama, Matara","30,000,000",The 32 Perches Highly Commercially Worth Land On The Galle Road With Sea View In Land Side.,"No:132 A, Thalaramba East, Weligama.",Commercial,32.0 perches
2,"['Land For Sale - Weligama', '20 Jul 11:40 am', 'Weligama, Matara', '30,000,000', 'The 32 Perches Highly Commercially Worth Land On The Galle Road With Sea View In Land Side.', 'No:132 A, Thalaramba East, Weligama.', 'Commercial', '32.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,දික්වැල්ල අගනා ඉඩමක් විකිණීමට,24 Jun 12:23 pm,"Dikwella, Matara","125,000",පර්චස් 60 ක අගනා ඉඩමක්පර්චසය රු. 125 000ප්‍රධාන පාරට 100m ක් දුරින්පදිංචියට  සුදුසු පරිසරයනල ජලය හ විදුලියපිරිසිදු ඔප්පු,"ජයපාල නිවස , අලුත්ගොඩ, දික්වැල්ල","Agricultural, Residential",60.0 perches
4,Land for Sale - Kamburugamuwa,20 Jul 12:16 pm,"Kamburugamuwa, Matara","250,000",Nala jalaya viduliya sahitha Adi 15 palala thaara damuu paara Galu paarata 120 mKamburugamuwa handiyata 200 m Kamburugamuwa beach ekata 150 m Nawa nagaraya nudurin Vatinaa idam kabali 10 k,Kamburugamuwa Handiya,"Commercial, Residential",10.0 perches
5,Land for Sale in Mirissa, 9 Jul  8:54 am,"Weligama, Matara","245,000",Lowest price in the area,"Rotary road, Mirissa","Commercial, Residential",10.0 perches
6,Tea Estate for Sale in Deniyaya,24 Jul  5:12 am,"Deniyaya, Matara","1,900,000",Quick sale. good land with good income. young tea plants. 30000 -40000 average income. cinnamon and pepper income. no any leagal issue with land.,Agricultural,1.0 acres,
7,මාතර ගාලු පාරට මුහුණලා 138 පර්චස් ව්කිනීමට,24 Jul  1:51 am,"Kamburugamuwa, Matara","590,000",🔥🔥ගාලු පාරට මුහුණලා පර්චස් 138 අගනා ඉඩම විකිණීම සදහා🔥🔥,තල්අරඹ,"Commercial, Residential",138.0 perches
8,Weligama Commercial Land | for sale - CC684-B,23 Jul  6:50 pm,"Weligama, Matara","1,400,000",#. 1 acre Land for sale in Weligama,Commercial,1.0 acres,
9,Land with a house for sale - Weligama,23 Jul  1:56 pm,"Weligama, Matara","3,800,000","10+ perches land with a house for sale near kumbalgama railway station facing to the Old Galle road Kumbalgama Weligama. House with shop space facilitate with plumbing water, well water and electricity. ","Kumbalgama, Weligama","Commercial, Residential",10.0 perches
10,Land for Sale in Hakmana,23 Jul  1:01 pm,"Hakmana, Matara","1,500,000",Denagama bus yana para aine niwasak idikarimata sudusu siyaluma pahasukam thibena bim kotasaki,Matara/Hakamana/denagama,Other,20.0 perches
11,"Land for Sale in Galle Road,Pamburana,Matara",23 Jul  8:24 am,"Matara, Matara","1,000,000","--Land size: 18.1 perches-Per perch: 1,000,000 or best offer.-The land can be sold in two pieces (10 perch land & 8.1 perch land). -Address: 366/16, 3rd Lane, Galle Road, Pamburana, Matara.-Land type: Residential. Boundaries are demarcated with parapet walls. Two entrances to the land.-Location: 50m away from Pamburana Fuel Filling Station and 250m away from Nupe Junction. A very peaceful residential area with friendly neighbours, and is very close to National schools and shopping malls (Sujatha, Rahula, Keels, Shariputhra).-Title: Bimsaviya First Class Title.","366/16, 3rd Lane, Galle Road, Pamburana, Matara.",Residential,18.1 perches
12,Land with House for sale in Akuressa,22 Jul 10:48 pm,"Akuressa, Matara","4,000,000",19 perches land with house in kirimatimulla,Residential,19.0 perches,
