,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land For Sale - Weligama,20 Jul 11:40 am,"Weligama, Matara","30,000,000",The 32 Perches Highly Commercially Worth Land On The Galle Road With Sea View In Land Side.,"No:132 A, Thalaramba East, Weligama.",Commercial,32.0 perches
2,"['Land For Sale - Weligama', '20 Jul 11:40 am', 'Weligama, Matara', '30,000,000', 'The 32 Perches Highly Commercially Worth Land On The Galle Road With Sea View In Land Side.', 'No:132 A, Thalaramba East, Weligama.', 'Commercial', '32.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land with a house for sale - Weligama,23 Jul  1:56 pm,"Weligama, Matara","3,800,000","10+ perches land with a house for sale near kumbalgama railway station facing to the Old Galle road Kumbalgama Weligama. House with shop space facilitate with plumbing water, well water and electricity. ","Kumbalgama, Weligama","Commercial, Residential",10.0 perches
4,Land for Sale in Mirissa, 9 Jul  8:54 am,"Weligama, Matara","245,000",Lowest price in the area,"Rotary road, Mirissa","Commercial, Residential",10.0 perches
5,Weligama Commercial Land | for sale - CC684-B,23 Jul  6:50 pm,"Weligama, Matara","1,400,000",#. 1 acre Land for sale in Weligama,Commercial,1.0 acres,
6,Land with a house for sale - Weligama,23 Jul  1:56 pm,"Weligama, Matara","3,800,000","10+ perches land with a house for sale near kumbalgama railway station facing to the Old Galle road Kumbalgama Weligama. House with shop space facilitate with plumbing water, well water and electricity. ","Kumbalgama, Weligama","Commercial, Residential",10.0 perches
7,Valuable Land in Weligama for Sale,20 Jul  8:47 am,"Weligama, Matara","450,000","Valueble land, with 12 and 10 perches plots for sale in Weligama, Wellakka, conveniently located alone Jinna Road connecting Galbokka market and the Borala road. 1km to Weligama town and Galbokka market. Clear deed. These plots can be sold seperately or together are suitable for building a house with a shop or a dispensary. Expected Rs. 4.5 laks per perch. Pls. Contact",Residential,12.0 perches,
8,Land for Sale in Weligama,20 Jul  6:04 am,"Weligama, Matara","550,000",The land situated in one of the best tourism area of Mirissa. An ideal location for build up Guest House for Foreigners. At present there are well establish 03 tourist hotels are operating. For more information please call....No brokers please.......,Mirissa - Udupila,Residential,20.0 perches
9,Land for Sale in Weligama,19 Jul  4:53 pm,"Weligama, Matara","140,000","beautiful environment view the land. easy payment and bank loan facilities available. 6 months interest free period available. water , electricity , 30 feet wide tarring road available.","WELIGAMA , AKURESSA ROAD",Residential,10.0 perches
10,Land for Sale in Welipitiya,17 Jul  4:10 pm,"Weligama, Matara","40,000,000","Direct on the Highway Colombo-Matara, 10 min drive from Kokmadu Entrance,2 acces to the Land,Local workers House, Electric,Waterline and Springwater. Actually 2 acres tea, 4 acres cinnamon and 200 Coconut threes. .","Welipitiya, Udakawa",Residential,16.3 acres
11,Land for Sale in Weligama,17 Jul  6:20 pm,"Weligama, Matara","14,000,000",* Calm and quiet environment.* Part of the land is filled with Cinnamon cultivation.* Just 7 kilometers to 'Kokmaduwa' Southern Highway Entrance and 4 kilometers to Galle road.* Lane and the private road is concrete paved.* Clean water from well (Water pump equipped).* Facing to a paddy field (nice scenery). * Suitable for building a guest house as well.* Call mentioned numbers and put an appointment to inspect the land* Serious buyers only,"""Weldisi"", Hiyalgoda, Jamburegoda, Weligama, Sri Lanka.","Agricultural, Commercial, Residential, Other",113.5 perches
12,Land For Sale In Weligama,15 Jul  4:44 pm,"Weligama, Matara","150,000","WATER , ELECTRICITY , 30 FEET WIDE TARRING ROAD AVAILABLEPRIME FINANCE EASY PAYMENT SYSTEM AND BANK LOAN FACULTIES AVAILABLE","WELIGAMA , AKURESSA ROAD",Residential,10.0 perches
13,Land for Sale in Weligama,15 Jul  4:42 pm,"Weligama, Matara","145,000",beautiful paddy field view . very close to weligama akuressa main road. prime fiance easy payment and bank loan facilities available.6 months interest free period approved.,"WELIGAMA , AKURESSA ROAD",Residential,13.0 perches
14,Land for Sale in Weligama,13 Jul  9:32 pm,"Weligama, Matara","160,000","Location:	Kohunugamuwa road, wallakka.1 km from Waligama town.clear documents.Electricity and water available.","Kohunugamuwa road, wallakka.",Residential,12.0 perches
