,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Nuwaraeliya,16 Jul  2:13 pm,"Nuwara Eliya, Nuwara Eliya","350,000",Panaromic viewadjoined Galway forest1.2 km from lake1.5 km from Nuwaraeliya Welimada main roadnear by moonplain safari,moon plains NuwaraEliya,"Commercial, Residential",12.0 perches
2,"['Land for Sale in Nuwaraeliya', '16 Jul  2:13 pm', 'Nuwara Eliya, Nuwara Eliya', '350,000', 'Panaromic viewadjoined Galway forest1.2 km from lake1.5 km from Nuwaraeliya Welimada main roadnear by moonplain safari', 'moon plains NuwaraEliya', 'Commercial, Residential', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land with House for Sale in Nuwara Eliya,16 Jul 11:50 am,"Nuwara Eliya, Nuwara Eliya","140,000,000","The property situated in the heart of Nuweraeliya but giving the best of both worlds ( convinience and isolation as it’s just short of a KM away from the town) The property I s around 2.2 km from Gregory Lake, 9 km from Hakgala Botanical Garden and 1.5 km from Mackwoods Museum. Attractions in the area include Seetha Amman Temple, 7 km away, or Ambewela Farms, situated 19 km from the property.The area is popular for cycling, and car hire is available at the accommodation.Popular points of interest near To House include Victoria Park of Nuwara Eliya which is walking distance away, Galway's Land National Park and Nuwara Eliya Post Office. Please call for more Details call me.Price is Negotiable upon inspection.","Church Rd, Nuwara Eliya 22200","Agricultural, Commercial, Residential, Other",60.0 perches
4,Land with House for Sale in Nuwara Eliya,16 Jul 11:50 am,"Nuwara Eliya, Nuwara Eliya","140,000,000","The property situated in the heart of Nuweraeliya but giving the best of both worlds ( convinience and isolation as it’s just short of a KM away from the town) The property I s around 2.2 km from Gregory Lake, 9 km from Hakgala Botanical Garden and 1.5 km from Mackwoods Museum. Attractions in the area include Seetha Amman Temple, 7 km away, or Ambewela Farms, situated 19 km from the property.The area is popular for cycling, and car hire is available at the accommodation.Popular points of interest near To House include Victoria Park of Nuwara Eliya which is walking distance away, Galway's Land National Park and Nuwara Eliya Post Office. Please call for more Details call me.Price is Negotiable upon inspection.","Church Rd, Nuwara Eliya 22200","Agricultural, Commercial, Residential, Other",60.0 perches
5,"Land for Sale in Sarvodaya, Kotagala",21 Jul 12:51 pm,"Hatton, Nuwara Eliya","4,000,000","A Bear Land for Sale in Kotagala, Hatton Which Is Close Approximately Webster International School.  All Facilities Are Available. Price Can Be Negotiable.",Residential,15.0 perches,
6,Land For Sale In Ramboda,23 Jul  9:25 am,"Nuwara Eliya, Nuwara Eliya","500,000","800P land in Ramboda Pass, close view of Ramboda Falls.",Ramboda On Nuwara eliya Main road,"Agricultural, Commercial, Residential",800.0 perches
7,"18.5 Perches Scenic View Land for Sale in Haggala, Nuwara Eliya.",23 Jul 10:06 am,"Nuwara Eliya, Nuwara Eliya","1,850,000","18.5 Perches Scenic View Land for Sale in Boragas, Haggala,  Nuwara Eliya (Closest and main city is Nuwara Eliya but this land situated in Uva Province). Just 600 meters away from Nuwara Eliya – Walimada main road. Distances 6 Km to Haggala Botanical Garden, 11 Km to Nuwara Eliya, 11 Km to Welimada. Close proximity to Hakgala Botanical Garden and Nuwara-Eliya Town. This “Prime Wintry Hieghts” Land project recently developed by Prime Land (Pvt.) Ltd with the higher degree of standard (Block No 28). This is 45 Degree sloppy land, but it has panoramic view.",Haggala,"Agricultural, Commercial, Residential, Other",18.5 perches
8,Land for Sale in Pussellawa,20 Jul 10:16 am,"Nuwara Eliya, Nuwara Eliya","1,400,000",ඉඩමක් විකිණීමට ඇත - නුවරඑලිය =============================,"Commercial, Residential",10.0 perches,
9,Best Commercial /Residential Land Nuwara-Eliya,15 Jul  4:08 pm,"Nuwara Eliya, Nuwara Eliya","575,000",Property 1;,Shantapura Nuwara-Eliya,"Agricultural, Commercial, Residential",35.0 perches
10,Valuable Land for Sale with House in Nuwara Eliya,15 Jul  5:11 pm,"Nuwara Eliya, Nuwara Eliya","2,800,000","LAND SALE WITH HOUSE - NUWARAELIYAThe land is located in Kelegaala, Nuwaraeliya town limit. 500 Meters from GREGORY lake.. Panoramic view. Tourism Area, Ideal for Residential house, . Electricity and water available.The house consists of 2 bedrooms with attached hot water bathroom, living room and kitchen.• නිරවුල් ඔප්පු සහිතයි.• නිස්කලංක මනරම් පරිසරයක පිහිටා තිබේ.• ඉතාමත් සුන්දර වටපිටාවකි.","Upper Gibson Road, Kelegaala, Nuwara Eliya.",Residential,7.61 perches
11,"Land Blocks for Sale in Labukele, Nuwara Eliya with panoramic view",23 Jul 10:06 am,"Nuwara Eliya, Nuwara Eliya","495,000","10 Perches each 3 (Sinnakkara – Freehold Title) Commercial cum Residential Land Blocks for  Sale in Labukele, Nuwara Eliya. This property has breath taking panoramic view of the mountains on a misty cool climate with Peaceful Surrounding and Good Neighborhood.  Less than 100 m to Kandy Nuwara Eliya (A5) main road and 7 Km to Nuwara Eliya town.",Labukele,"Agricultural, Commercial, Residential",10.0 perches
12,Land for Sale in Nuwaraeliya,13 Jul  4:25 pm,"Nuwara Eliya, Nuwara Eliya","2,000,000",Land for Sale in Nuwaraeliya======================,"Bonavista rd , Nuwara eliya","Commercial, Residential",15.5 perches
13,Land for Immediate Sale in Hatton,12 Jul 11:46 am,"Hatton, Nuwara Eliya","6,900,000","Construct your own Building within the Hatton Territory, very few land plots remaining in the area.","Malliyapu, Hatton","Commercial, Residential",9.81 perches
