,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,10P Land for Sale - Embilipitiya,23 Jul  6:09 pm,"Embilipitiya, Ratnapura","1,200,000",Rohala Pare 9weni Patu Mage P 10 Vikinimta Niraul Aithiyak Damahal Niwasakta Aththi Warama Da a Etha,Rohala Para 9wana Patu Maga New Town Embilipitiya,Residential,10.0 perches
2,"['10P Land for Sale - Embilipitiya', '23 Jul  6:09 pm', 'Embilipitiya, Ratnapura', '1,200,000', 'Rohala Pare 9weni Patu Mage P 10 Vikinimta Niraul Aithiyak Damahal Niwasakta Aththi Warama Da a Etha', 'Rohala Para 9wana Patu Maga New Town Embilipitiya', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Embilipitiya,25 Jul  2:08 pm,"Embilipitiya, Ratnapura","30,000","කාමර 4ක් සමග නිවස, අක්කර 1 ක පොල් වගාව, ජලය විදුලිය ඇත.වගා කටයුතු සදහා ඵහසුයි",Agricultural,4.0 acres,
4,Land For Sale Thunkama,27 Jul  6:05 pm,"Embilipitiya, Ratnapura","400,000","නල ජලය විදුලිය සහිතයි ඇඹිලිපිටිය , නෝනගම ප්‍රධාන පාරට 250m තුංකම නගරයට 500m","Landawaththa, Thunkama.",Residential,20.0 perches
5,Land for Sale in Embilipitiya,29 Jul  7:21 am,"Embilipitiya, Ratnapura","1,000,000",අක්කරයක පොල් ඉඩම..ඇඹිලිපිටිය මිද්දෙණිය ප්‍රධාන පාරේ (කැන්දකැටියේ)  සිට මීට‍ර් 50ක්  පමණ දුරින් පිහිටා ඇත.ඉතා ඉක්මනින් විකිණීමට අවශයයි.වැඩි විස්තර සදහා අමතන්න..මිල ගණන් සාකච්චා කරගත හැකිය.,Agricultural,1.0 acres,
6,Land for Sale Embilipitiya,28 Jul  7:28 am,"Embilipitiya, Ratnapura","1,192,500",ඇඹිලිපිටිය උඩුගම දර්ශන ගම පාරේ මාර්ගයට මීටර් 300ක් දුරින් වටිනා ඉඩමක් විකිණීමට තිබේ. පර්චස් 26.5 පිරිසිදු සින්නක්කර ඔප්පු නළ ජලය විදුලිය පුලුල් මාර්ග පහසුකම් ඇත. ඇඹිලිපිටිය නගරසභා බල ප්‍රදේශය තුල. පර්චස් එකක් රු 45000/=යි සම්පූර්ණ මුදල 1192500/=මිල ගනන් සාකච්ඡා කර ගත හැක. මුදල් හදිස්සියක් නිසාම විකිණීමට ඇත.,උඩගම ඇඹිලිපිටිය,Residential,26.5 perches
7,පොල් ඉඩමක් විකිණීමට - අැඹිලිපිටිය,27 Jul 12:47 pm,"Embilipitiya, Ratnapura","4,200,000","සින්නක්කර ඔප්පු,පොල්,කොස්,අඹ,කාමර 2ක් සහිත වටිනා ඉඩම කොටස් වශයෙන් හෝ සම්පුර්ණම විකිණේ. නගරයට 4කි.මි.","කාවන්තිස්සපුර,මිද්දෙනිය පාර,අැඹිලිපිටිය","Agricultural, Commercial, Residential",163.0 perches
8,Embilipitiya land,26 Jul  3:02 pm,"Embilipitiya, Ratnapura","110,000","ඇඹිලිපිටිය නගරයට ආසන්නව,ඇඹිලිපිටිය - මොරකැටිය ප්‍රධාන මාර්ගයේ සිට ලියනෑගම මාර්ගයේ  පිහිටි අගනා පර්චස් 20ක ඉඩම ඉතා ඉක්මනින් විකිනීමට ඇත,හරි හතරැස් ඉඩම,තේක්ක,අඹ,කොස් ගස් ඇත,","Liyanagama,Embilipitiya",Residential,20.0 perches
9,Land for Sale - Embilipitiya,25 Jul  2:08 pm,"Embilipitiya, Ratnapura","30,000","කාමර 4ක් සමග නිවස, අක්කර 1 ක පොල් වගාව, ජලය විදුලිය ඇත.වගා කටයුතු සදහා ඵහසුයි",Agricultural,4.0 acres,
10,Land for sale in Embilipitiya,20 Jul 12:17 pm,"Embilipitiya, Ratnapura","7,800,000",ඇඹිලිපිටිය මහ රෝහලට යාබදව වටිනා ඉඩමක් විකිණීමට ඇත. පර්චස් 39 සින්නක්කර ඔප්පු නළ ජලය විදුලිය පුලුල් මාර්ග පහසුකම් පදිංචියට හෝ වෙනත් ඕනෑම ව්‍යාපාරයක් සඳහා සුදුසුය. පර්චස් එකක් රු 200000/=බැගින්. පරීක්ෂා කර බලා මිල ගණන් කතා කර ගත හැක.,ඇඹිලිපිටිය මහ රෝහල අසල.,"Commercial, Residential",39.0 perches
11,Sale for Land Kandaketiya,18 Jul  7:27 pm,"Embilipitiya, Ratnapura","900,000",මිද්දෙනිය ඇඹිලිපිටිය ප්‍රධාන පාරට මිටර් 600දැනට පොල් කැටිය හැකියවිදුලිය හා ජල පහසුකම් ඇතහීන් නාරාන් වගාවක්ද සහිතයි,"Middeniya Road, Kandaketiya","Agricultural, Residential",1.0 acres
12,Land for sale in Udawalawe,18 Jul  2:41 pm,"Embilipitiya, Ratnapura","12,000,000",Udawalawe thanamalwila parata muhunala athi purchus 80ka idama itha ikmanin wikunanu labe. grand hotalaya asala.,Commercial,80.0 perches,
13,Land for Sale Embilipitiya,17 Jul  4:23 pm,"Embilipitiya, Ratnapura","75,000","අැඔිලිපිටිය මොරකැටි පාරේ 3 කණුව ලග සිටමිටර් 300 ක් දුරින් පර්චස් 20 ක ඉති වටිනා ඉඩමක් විකිණිමට තිබේ.බලපත්‍ර සහිත මේම ඉඩම පදිංචියට වඩාත්ම සුසුසු වේ.ජලය, විදුලිය, මාර්ග පහසුකම් සහිතයි.ඵලදාව ලබා ගත හැකි පොල් ගස් කිහිපයක් තිබේ.පර්චස් 1  මිළ 75000,මුලු වටිනාකම රු. 1500000.මුදල් හදිස්සියක් නිසා විකුණනු ලැබේ.මිළ ගණන් සාකච්ජා කර ගත හැක.විමසන්න.","3 කණුව ,අැඔිලිපිටිය.",Residential,20.0 perches
