,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in - Kotikawatta, 9 Jul  4:40 pm,"Angoda, Colombo","11,000,000","New single Story House at weeramal mw, Kotikawatta,Landscaped garden area with 6 perches1100 Sw.FT20 Ft Road3 Bed rooms (1 Attached Bath Room & AC)Living, Dining, Pantry AreaOver water tank with pipe born water02 Vehicle can be park2 Bath roomsLiving, Dining, Pantry AreaOver water tank with pipe born water02 Vehicle can be parkRoller Gate (three singha) ","Weeramal Mw,3rd lane, Kotikawatta",3,2,"1,100.0 sqft",6.0 perches
2,"['House for Sale in - Kotikawatta', ' 9 Jul  4:40 pm', 'Angoda, Colombo', '11,000,000', 'New single Story House at weeramal mw, Kotikawatta,Landscaped garden area with 6 perches1100 Sw.FT20 Ft Road3 Bed rooms (1 Attached Bath Room & AC)Living, Dining, Pantry AreaOver water tank with pipe born water02 Vehicle can be park2 Bath roomsLiving, Dining, Pantry AreaOver water tank with pipe born water02 Vehicle can be parkRoller Gate (three singha) ', 'Weeramal Mw,3rd lane, Kotikawatta', '3', '2', '1,100.0 sqft', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Newly Build House for Sale in Hibutana,16 Aug 12:48 pm,"Angoda, Colombo","2,600,000",Newly build morden house for sale in hibutana road..20m away from main bus rute (164) build by orange clay brisk & 12feet pvt access road with only three of good neibours.all the equipment are high quality fittings..26..million Electricity & water are two seperate lines in each story with out side stair case.price can be negotiable.approved plan & followed astrology ( waasthu vidya) also.Roller gate with two vehicle can park.two separate servervent rooms with bath room..immediately sale for first comes,3,3,"1,800.0 sqft",12.5 perches,
4,2 Storied Units House for Sale in Angoda,16 Aug 11:37 am,"Angoda, Colombo","15,000,000","2 storied 2 units house for immediate sale in Angoda. - (2.4km to Thalahena Junction, Battaramulla) ","Angoda, Udumulla",5,2,"2,500.0 sqft",6.5 perches
5,"Two Story House For Sale In Himbutana Lane, Angoda",16 Aug 10:32 am,"Angoda, Colombo","13,800,000","* Two story house with roof garden* 5 Bed rooms, 2 Bathrooms* Large dinning living area and pantry * Parking available for 2 vehicles * 6 perches land, 2300 sqft* House fully build in bricks* Round boundary wall and gate* Clear deeds* 7 km to Colombo - Easy access to Rajagiriya, Battaramulla, Malabe & Kelaniya* Higher residential area * Entrance wide carpet road* Very close to 166,150,164 bus route* Walking distance to IDH, Mulleriyawa hospitals & super markets, banks* Easy access to katunayake and down south high way and low level road",5,2,"2,300.0 sqft",6.0 perches,
6,House in Mulleriyawa Angoda for sale,15 Aug  4:43 pm,"Angoda, Colombo","10,250,000","House is located in Maliga godalla road, Mulleriyawa. Nearly to water tank.5 minutes to kaduwela Highway exist, 15 minutes to battharamulla koswatta junction, 3 minutes to chandrika kumarathunga road malabe, 15 minutes to angoda.Accept 100 laks last.",3,2,"2,000.0 sqft",6.45 perches,
7,පර්චස් 8.5 ක දෙමහල් නිවසක් ව්කිණිමට - මල්ගම,15 Aug  3:02 pm,"Angoda, Colombo","13,000,000",උඩමුල්ල මල්ගම පර්චස් 8.5 ක දෙමහල් නිවසක් ව්කිණිමට ඇත ඉතා හොද වැදගත් නිස්කලංක පරිසරය අඩ් 20 පාර ම්ල සාකච්ඡා කරගත හැක,උඩුමුල්ල මල්ගම,4,2,"2,200.0 sqft",8.5 perches
8,House Sale Kotikawatta, 8 Aug  2:59 pm,"Angoda, Colombo","18,500,000",* පර්චස් 18.44* පදින්චියට සුදුසු කාමර4ක නිවස* විදුලිය/පිරිසිදු ලිං ජලය* පුලුල් කාපට් පාර* කොටිකාවත්ත නගරයේ සිට මීටර්150ක පමන් දුරින් පිහිටා ඇත.* නිරවුල් ඔප්පු. * 175 බස් පාරට පෙනෙන් දුරින්* cargills food city එකට ඇවිදන් විනාඩි 5ක දුරින් පිහිටා ඇති වාසයට හෝ එපාර්ට්මන්ට් එකක් ඉදිකිරීම සදහා ඉතා අනර්ග ස්තානයකි..* මුලු වටිනාකම රැපියල් 18500000 කි..* https://goo.gl/maps/9Dfu8XUDfPMptPcL8,kudabuthgamuwa,4,1,"3,000.0 sqft",18.44 perches
9,House for Sale in Angoda, 8 Aug  9:27 am,"Angoda, Colombo","60,000,000",* Two story luxury house* House build on 20 perches land consist* Garden with 800sqft* 5 Bed rooms* 5 Attached bathrooms* 5 Air Conditions* 1 Common bathroom | Baking Pantry | Kitchen | Living and Dinning Areas* 1 Servant room with bathroom* 1 Driver room with bathroom* Parking available for 3 vehicles* Solar power system available for the main electricity supply* CCTV operation available,"N.T. Perera Mw, Angoda",7,5,"5,500.0 sqft",20.0 perches
